sex,replicate,experiment,inseminations,mounts,opposite_sex_strength,oppo_sex_degree,ID,treatment
female,2,male_2023,4,62,2.2289216,5,I,NA
female,2,male_2023,4,19,1.4104823,7,J,NA
female,2,male_2023,4,18,1.0500522,4,K,NA
female,2,male_2023,2,3,0,0,L,NA
female,2,male_2023,3,12,1.0288462,3,M,NA
female,2,male_2023,4,40,1.8525641,6,N,NA
female,2,male_2023,2,7,1.7712418,2,O,NA
female,2,male_2023,1,3,1.2,2,P,NA
female,3,male_2023,1,4,0.8653846,2,I,NA
female,3,male_2023,3,8,1.6154682,8,J,NA
female,3,male_2023,3,20,0.8879167,4,K,NA
female,3,male_2023,4,31,0.9372391,4,L,NA
female,3,male_2023,1,11,0.756917,2,M,NA
female,3,male_2023,2,13,1.2104325,4,N,NA
female,3,male_2023,8,20,3.5,4,O,NA
female,3,male_2023,6,53,1.1350877,7,P,NA
female,4,male_2023,2,12,0.8555857,5,I,NA
female,4,male_2023,2,5,2.4417107,5,J,NA
female,4,male_2023,4,8,2.4417107,5,K,NA
female,4,male_2023,3,24,2.3476327,6,L,NA
female,4,male_2023,6,38,1.182789,8,M,NA
female,4,male_2023,6,69,1.6288869,8,N,NA
female,4,male_2023,2,30,2.2692063,7,O,NA
female,4,male_2023,6,57,1.5252052,8,P,NA
female,5,male_2023,9,43,1.4856251,7,I,NA
female,5,male_2023,1,6,0.7252964,6,J,NA
female,5,male_2023,10,38,3.2536064,6,K,NA
female,5,male_2023,15,67,1.3645565,7,L,NA
female,5,male_2023,6,22,2.8964719,8,M,NA
female,5,male_2023,7,24,1.7794012,8,N,NA
female,5,male_2023,2,13,0.4741626,7,O,NA
female,5,male_2023,3,9,0.5402304,6,P,NA
female,6,male_2023,4,21,2.6610953,6,I,NA
female,6,male_2023,8,19,0.4430962,7,J,NA
female,6,male_2023,8,75,0.531746,5,K,NA
female,6,male_2023,3,10,1.5403177,7,L,NA
female,6,male_2023,6,35,1.8577778,7,M,NA
female,6,male_2023,5,31,0.9955556,6,N,NA
female,6,male_2023,4,20,1.7460066,7,O,NA
female,6,male_2023,3,13,2.0695701,5,P,NA
male,1,female_2022,1,6,1.1357063,3,A,NA
male,1,female_2022,4,8,2.5396825,4,C,NA
male,1,female_2022,4,10,2.1089372,5,D,NA
male,1,female_2022,4,6,2.562532,4,E,NA
male,1,female_2022,2,10,1.1248802,5,F,NA
male,1,female_2022,4,16,1.0816527,3,G,NA
male,1,female_2022,0,28,1.0816527,3,H,NA
male,2,female_2022,7,22,0.5569916,5,A,NA
male,2,female_2022,5,35,1.175447,7,B,NA
male,2,female_2022,4,113,0.8712406,3,C,NA
male,2,female_2022,2,9,0.8200609,5,D,NA
male,2,female_2022,6,16,1.0157895,3,E,NA
male,2,female_2022,3,12,0.5,2,F,NA
male,2,female_2022,3,6,0.7833835,7,G,NA
male,2,female_2022,3,13,0.7487668,4,H,NA
male,3,female_2022,2,10,0.3551965,3,A,NA
male,3,female_2022,2,12,0.37,3,B,NA
male,3,female_2022,0,17,1.5169396,5,C,NA
male,3,female_2022,3,19,1.8406526,6,D,NA
male,3,female_2022,3,18,0.6082923,4,E,NA
male,3,female_2022,5,8,0.5570513,3,F,NA
male,3,female_2022,0,74,0.6406926,3,G,NA
male,3,female_2022,5,14,1.5156808,7,H,NA
male,4,female_2022,3,11,3.15451651,7,A,NA
male,4,female_2022,3,8,0.94720497,3,B,NA
male,4,female_2022,4,12,1.32880486,6,C,NA
male,4,female_2022,1,19,0.94720497,3,D,NA
male,4,female_2022,1,3,0.94720497,3,E,NA
male,4,female_2022,2,9,0.29246611,3,F,NA
male,4,female_2022,5,13,0.79358289,3,G,NA
male,4,female_2022,4,10,0.09808612,2,H,NA
male,5,female_2022,4,12,2.2455922,6,A,NA
male,5,female_2022,3,14,1.1401592,5,B,NA
male,5,female_2022,1,14,1.9762642,6,C,NA
male,5,female_2022,3,11,1.7689755,7,D,NA
male,5,female_2022,3,6,0.4,1,E,NA
male,5,female_2022,3,15,0.9509804,4,F,NA
male,5,female_2022,1,6,0.45,1,G,NA
male,5,female_2022,3,10,2.523794,7,H,NA
male,6,female_2022,4,16,0.17562724,3,A,NA
male,6,female_2022,1,7,0.77012883,5,B,NA
male,6,female_2022,2,3,0.03571429,1,C,NA
male,6,female_2022,0,4,0.03571429,1,D,NA
male,6,female_2022,2,20,0.57905138,2,E,NA
male,6,female_2022,0,28,1.6,2,F,NA
male,6,female_2022,4,12,1.94293147,6,G,NA
male,6,female_2022,1,15,0.9913812,4,H,NA
