,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,Notes,patch_focal,treatment,patch_partner,X,partner_sex,,
70,2,2:14:50 PM,,mount,:7,",5",,,,,B,social,E,NA,male,,
81,1,8:02:38 AM,,mount,:1,",7",,,,"while ,7 on 1:",K,isolated,L,NA,male,,
4,1,1:51:47 PM,,mount,",6",1:00,n,,y,,H,isolated,X,NA,female,,
99,1,8:18:02 AM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
100,1,8:19:02 AM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
75,1,11:51:51 AM,,mount,",9",",7",,,,,F,social,L,NA,male,,
90,1,8:09:30 AM,,mount,",9",",8",,,,"while ,8 on 7,",F,social,J,NA,male,,
79,1,9:19:05 AM,,mount,:0,",7",,,,,I,isolated,L,NA,male,,
80,1,10:46:46 AM,,mount,:0,",7",,,,,I,isolated,L,NA,male,,
94,1,11:34:36 AM,,mount,:0,",8",,,,,I,isolated,J,NA,male,,
95,1,12:39:18 PM,,mount,:0,",8",,,,,I,isolated,J,NA,male,,
82,1,8:47:15 AM,,mount,:1,",7",,,,,K,isolated,L,NA,male,,
107,1,8:05:33 AM,,mount,:1,",9",,,,,K,isolated,F,NA,male,,
215,1,8:20:45 AM,,mount,",0","8,",y,n,y,,A,social,U,NA,female,,
84,1,10:37:49 AM,,mount,",5",",8",,,,,E,social,J,NA,male,,
85,1,11:19:48 AM,,mount,",5",",8",,,,,E,social,J,NA,male,,
86,1,8:30:17 AM,,mount,",7",",8",,,,,L,isolated,J,NA,male,,
87,1,8:30:57 AM,,mount,",7",",8",,,,,L,isolated,J,NA,male,,
88,1,9:10:17 AM,,mount,",7",",8",,,,,L,isolated,J,NA,male,,
127,1,8:00:45 AM,,mount,",7",:1,,,,,L,isolated,K,NA,male,,
91,1,8:18:49 AM,,mount,",9",",8",,,,,F,social,J,NA,male,,
131,1,8:05:56 AM,,mount,",9",:1,,,,,F,social,K,NA,male,,
132,1,8:22:27 AM,,mount,",9",:1,,,,,F,social,K,NA,male,,
177,1,8:01:02 AM,,insemination,",9","4,",n,NA,n,,F,social,Q,NA,female,,
133,1,9:14:19 AM,,mount,:0,:1,,,,"while :1 was on 8,",I,isolated,K,NA,male,,
134,1,9:18:14 AM,,mount,:0,:1,,,,,I,isolated,K,NA,male,,
96,1,8:04:52 AM,,mount,",4",",9",,,,,D,social,F,NA,male,,
97,1,8:05:00 AM,,mount,",4",",9",,,,,D,social,F,NA,male,,
128,1,8:47:01 AM,,mount,",7",:1,,,,,L,isolated,K,NA,male,,
101,1,8:24:40 AM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
102,1,2:31:20 PM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
103,1,3:41:51 PM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
104,1,3:42:10 PM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
105,1,3:42:56 PM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
114,1,1:53:30 PM,,mount,",8",:0,,,,,J,isolated,I,NA,male,,
164,1,8:01:18 AM,,insemination,",8","3,",n,NA,n,,J,isolated,P,NA,female,,
210,1,8:06:17 AM,,insemination,",8","7,",n,NA,n,,J,isolated,T,NA,female,,
108,1,8:06:26 AM,,mount,:1,",9",,,,,K,isolated,F,NA,male,,
109,1,8:23:02 AM,,mount,:1,",9",,,,,K,isolated,F,NA,male,,
115,1,9:30:36 AM,,mount,:1,:0,,,,,K,isolated,I,NA,male,,
171,1,1:18:36 PM,,mount,",0","4,",n,NA,y,,A,social,Q,NA,female,,
111,1,11:34:54 AM,,mount,",5",:0,,,,,E,social,I,NA,male,,
112,1,11:41:15 AM,,mount,",5",:0,,,,,E,social,I,NA,male,,
122,1,12:51:30 PM,,mount,",5",:1,,,,,E,social,K,NA,male,,
226,1,8:19:12 AM,,mount,",8","8,",n,NA,y,,J,isolated,U,NA,female,,
181,1,11:46:04 AM,,mount,:1,"4,",y,y,NA,,K,isolated,Q,NA,female,,
116,1,3:17:05 PM,,mount,:7,:0,,,,,B,social,I,NA,male,,
117,2,9:13:29 AM,,mount,:7,:0,,,,,B,social,I,NA,male,,
118,2,10:17:43 AM,,mount,:7,:0,,,,,B,social,I,NA,male,,
214,1,8:17:14 AM,,mount,",0","8,",n,NA,y,,A,social,U,NA,female,,
216,1,8:26:48 AM,,mount,",0","8,",n,NA,y,,A,social,U,NA,female,,
147,1,9:34:57 AM,,mount,",0","2,",y,y,NA,,A,social,O,NA,female,,
139,1,8:36:33 AM,,mount,",5",:7,,,,,E,social,B,NA,male,,
72,1,10:17:04 AM,,mount,",6",",7",,,,,H,isolated,L,NA,male,,
