,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,X,patch_focal,treatment,patch_partner,partner_sex
100,1,11:05:31 AM,,",6",",1",,,,mount,,B,social,C,male
22,1,8:09:20 AM,,",7",",8",,,,mount,,F,isolated,D,male
35,1,8:18:41 AM,,",7",",8",,,,mount,,F,isolated,D,male
39,1,8:21:23 AM,,",7",",4",,,,mount,,F,isolated,A,male
106,1,11:23:17 AM,,",6",",1",,,,mount,,B,social,C,male
111,1,11:29:14 AM,,",0",",5",,,,mount,,G,isolated,E,male
99,1,11:04:39 AM,,",1",",6",,,,mount,,C,social,B,male
103,1,11:14:23 AM,,",1",",6",,,,mount,,C,social,B,male
110,1,11:26:17 AM,,",6",",1",,,,mount,,B,social,C,male
115,1,11:35:51 AM,,",0",",5",,,,mount,,G,isolated,E,male
45,1,8:23:48 AM,,",7",",8",,,,mount,,F,isolated,D,male
95,1,10:41:45 AM,,",5",",1",,,,mount,,E,isolated,C,male
145,1,1:06:00 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
119,1,11:46:12 AM,,",5",",0",,,,mount,,E,isolated,G,male
146,1,1:06:56 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
190,1,3:07:56 PM,,",3","4,",n,NA,y,mount,,H,isolated,L,female
165,1,1:46:21 PM,,",8","6,",n,NA,y,mount,,D,social,M,female
19,1,8:07:49 AM,8:10:01 AM,",3","6,",y,n,n,insemination,,H,isolated,M,female
64,1,9:07:16 AM,,",3","1,",y,n,y,mount,,H,isolated,J,female
104,1,11:14:42 AM,,",1",",6",,,,mount,,C,social,B,male
126,1,12:02:47 PM,,",5",",1",,,,mount,,E,isolated,C,male
127,1,12:16:10 PM,,",0",",6",,,,mount,,G,isolated,B,male
128,1,12:36:24 PM,,",0",",5",,,,mount,,G,isolated,E,male
129,1,12:36:32 PM,,",6",",0",,,,mount,,B,social,G,male
112,1,11:30:36 AM,,",1",",6",,,,mount,,C,social,B,male
113,1,11:32:12 AM,,",1",",6",,,,mount,,C,social,B,male
125,1,12:02:40 PM,,",1",",6",,,,mount,,C,social,B,male
131,1,12:38:07 PM,,",1",",6",,,,mount,,C,social,B,male
132,1,12:38:25 PM,,",1",",5",,,,mount,,C,social,E,male
135,1,12:46:29 PM,,",5",",1",,,,mount,,E,isolated,C,male
136,1,12:50:06 PM,,",0",",6",,,,mount,,G,isolated,B,male
174,1,2:12:50 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
177,1,2:16:44 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
181,1,2:23:09 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
182,1,2:23:48 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
186,1,2:36:52 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
48,1,8:29:42 AM,,",7",",8",,,,mount,,F,isolated,D,male
160,1,1:25:23 PM,,",4","7,",n,NA,y,mount,,A,social,N,female
53,1,8:41:59 AM,,",7",",8",,,,mount,,F,isolated,D,male
188,1,3:02:15 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
198,1,3:26:47 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
44,1,8:23:48 AM,,",3","2,",y,y,NA,mount,,H,isolated,K,female
133,1,12:38:30 PM,,",1",",6",,,,mount,,C,social,B,male
149,1,1:09:43 PM,,",0",",1",,,,mount,,G,isolated,C,male
150,1,1:09:49 PM,,",5",",0",,,,mount,,E,isolated,G,male
151,1,1:11:56 PM,,",6",",1",,,,mount,,B,social,C,male
152,1,1:14:13 PM,,",0",",5",,,,mount,,G,isolated,E,male
153,1,1:14:40 PM,,",5",",1",,,,mount,,E,isolated,C,male
134,1,12:44:19 PM,,",1",",5",,,,mount,,C,social,E,male
155,1,1:14:44 PM,,",6",",0",,,,mount,,B,social,G,male
156,1,1:23:31 PM,,",3","9,",y,y,NA,mount,,H,isolated,P,female
202,1,3:28:48 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
170,1,2:06:19 PM,,",3","2,",y,y,NA,mount,,H,isolated,K,female
175,1,2:14:27 PM,,",4","2,",y,n,y,mount,,A,social,K,female
178,1,2:17:01 PM,,",4","2,",y,y,NA,mount,,A,social,K,female
172,1,2:11:33 PM,,",3","2,",y,y,NA,mount,,H,isolated,K,female
34,1,8:18:24 AM,,",8","2,",y,y,NA,mount,,D,social,K,female
