,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
1,1,8:01:20 AM,,",2",",9",,,,mount,,F,isolated,A,male
2,1,8:01:27 AM,,",4",",1",,,,mount,,G,isolated,C,male
3,1,8:01:57 AM,8:03:09 AM,",8","4,",n,NA,n,insemination,,H,isolated,L,female
4,1,8:02:05 AM,8:05:15 AM,",4","7,",n,NA,n,insemination,,G,isolated,O,female
5,1,8:02:47 AM,,",1",",4",,,,mount,,C,social,G,male
6,1,8:04:04 AM,,",8","6,",n,NA,y,mount,,H,isolated,N,female
7,1,8:04:25 AM,,",7","7,",n,NA,y,mount,,D,social,O,female
8,1,8:04:32 AM,,",1","7,",y,y,NA,mount,,C,social,O,female
9,1,8:05:03 AM,,",9",",2",,,,mount,,A,social,F,male
10,1,8:05:03 AM,,",2",",3",,,,mount,,F,isolated,E,male
11,1,8:06:28 AM,8:07:11 AM,",7","7,",n,NA,n,insemination,,D,social,O,female
12,1,8:07:14 AM,,",4",",7",,,,mount,,G,isolated,D,male
13,1,8:07:45 AM,8:08:47 AM,",4","3,",n,NA,n,insemination,,G,isolated,K,female
14,1,8:07:58 AM,,",7",",4",,,,mount,,D,social,G,male
15,1,8:08:16 AM,,",7","4,",y,y,NA,mount,,D,social,L,female
16,1,8:09:06 AM,8:10:37 AM,",8","4,",n,NA,n,insemination,,H,isolated,L,female
17,1,8:09:45 AM,,",7","7,",y,y,NA,mount,,D,social,O,female
18,1,8:10:08 AM,,",8","4,",n,NA,y,mount,,H,isolated,L,female
19,1,8:11:08 AM,,",4","5,",n,NA,y,mount,,G,isolated,M,female
20,1,8:11:19 AM,,",7","7,",n,NA,y,mount,,D,social,O,female
21,1,8:11:39 AM,8:13:07 AM,",4","0,",n,NA,n,insemination,,G,isolated,I,female
22,1,8:11:51 AM,,",2",",1",,,,mount,,F,isolated,C,male
23,1,8:12:55 AM,,",7","7,",n,NA,y,mount,,D,social,O,female
24,1,8:13:46 AM,,",4","3,",n,NA,y,mount,,G,isolated,K,female
25,1,8:14:02 AM,,",8",",9",,,,mount,,H,isolated,A,male
26,1,8:14:19 AM,,",8",",2",,,,mount,,H,isolated,F,male
27,1,8:14:26 AM,,",2",",1",,,,mount,,F,isolated,C,male
28,1,8:14:39 AM,,",4","3,",n,NA,y,mount,,G,isolated,K,female
29,1,8:15:53 AM,,",4","8,",n,NA,y,mount,,G,isolated,P,female
30,1,8:16:30 AM,,",4","3,",n,NA,y,mount,,G,isolated,K,female
31,1,8:17:13 AM,,",4","8,",y,n,y,mount,,G,isolated,P,female
32,1,8:21:32 AM,,",9",",2",,,,mount,,A,social,F,male
33,1,8:22:56 AM,,",8",",2",,,,mount,,H,isolated,F,male
34,1,8:23:03 AM,,",2",",8",,,,mount,,F,isolated,H,male
35,1,8:23:21 AM,,",7","7,",n,NA,y,mount,,D,social,O,female
36,1,8:24:14 AM,,",4","5,",n,NA,y,mount,,G,isolated,M,female
37,1,8:24:27 AM,,",4","5,",n,NA,y,mount,,G,isolated,M,female
38,1,8:24:29 AM,,",4","5,",n,NA,y,mount,,G,isolated,M,female
39,1,8:24:43 AM,,",4","5,",n,NA,y,mount,,G,isolated,M,female
40,1,8:24:50 AM,8:25:57 AM,",4","8,",n,NA,n,insemination,,G,isolated,P,female
41,1,8:25:03 AM,8:25:58 AM,",3","3,",n,NA,n,insemination,,E,isolated,K,female
42,1,8:26:28 AM,,",2",",9",,,,mount,,F,isolated,A,male
