,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
368,2,1:37:40 PM,,",7",",3",,,,mount,,F,isolated,E,male
369,2,1:38:48 PM,,",8",",3",,,,mount,,D,social,E,male
370,2,1:39:24 PM,,",8",",3",,,,mount,,D,social,E,male
371,2,1:39:36 PM,,",0",",8",,,,mount,,H,isolated,D,male
372,2,1:43:32 PM,,",8",",0",,,,mount,,D,social,H,male
373,2,1:43:55 PM,,",7",",3",,,,mount,,F,isolated,E,male
374,2,1:46:24 PM,,",7",",3",,,,mount,,F,isolated,E,male
375,2,1:46:50 PM,,",9",",3",,,,mount,,A,social,E,male
376,2,1:47:02 PM,,",0",",9",,,,mount,,H,isolated,A,male
377,2,1:47:06 PM,,",2","7,",n,NA,y,mount,,G,isolated,O,female
378,2,1:52:25 PM,,",2","0,",y,y,NA,mount,,G,isolated,I,female
379,2,1:54:30 PM,,",5","0,",n,NA,y,mount,,C,social,I,female
380,2,2:06:13 PM,,",0",",7",,,,mount,,H,isolated,F,male
381,2,2:15:24 PM,,",0","7,",n,NA,y,mount,,H,isolated,O,female
382,2,2:16:17 PM,,",3","0,",y,y,NA,mount,,E,isolated,I,female
383,2,2:16:27 PM,,",1","0,",y,y,NA,mount,,B,social,I,female
384,2,2:20:10 PM,,",1","0,",n,NA,y,mount,,B,social,I,female
385,2,2:20:21 PM,,",1","0,",n,NA,y,mount,,B,social,I,female
386,2,2:20:46 PM,,",3",",5",,,,mount,,E,isolated,C,male
387,2,2:20:55 PM,,",5","0,",y,y,NA,mount,,C,social,I,female
388,2,2:31:04 PM,,",5",",3",,,,mount,,C,social,E,male
389,2,2:31:36 PM,,",3",",1",,,,mount,,E,isolated,B,male
390,2,2:35:32 PM,,",1",",3",,,,mount,,B,social,E,male
391,2,2:35:51 PM,,",3","0,",y,y,NA,mount,,E,isolated,I,female
392,2,2:38:33 PM,,",3","6,",y,y,NA,mount,,E,isolated,N,female
393,2,2:38:42 PM,,",3","5,",n,NA,y,mount,,E,isolated,M,female
394,2,2:38:52 PM,,",3","1,",n,NA,y,mount,,E,isolated,J,female
395,2,2:39:25 PM,,",3","5,",n,NA,y,mount,,E,isolated,M,female
396,2,2:40:01 PM,,",3","1,",n,NA,y,mount,,E,isolated,J,female
397,2,2:41:08 PM,,",3","5,",n,NA,y,mount,,E,isolated,M,female
398,2,2:41:20 PM,,",3","6,",n,NA,y,mount,,E,isolated,N,female
399,2,2:41:44 PM,,",3","0,",y,y,NA,mount,,E,isolated,I,female
400,2,2:42:01 PM,,",3","5,",n,NA,y,mount,,E,isolated,M,female
401,2,2:47:26 PM,2:47:56 PM,",5","1,",n,NA,n,insemination,,C,social,J,female
402,2,2:48:09 PM,,",2","6,",y,y,NA,mount,,G,isolated,N,female
