,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex,
101,1,9:43:53 AM,,",5","0,",y,y,NA,mount,,B,social,I,female,
87,1,9:16:53 AM,,",9","0,",y,y,NA,mount,,E,isolated,I,female,
75,1,9:04:53 AM,,",4","2,",y,y,NA,mount,,G,isolated,J,female,
76,1,9:05:54 AM,,",7","9,",n,NA,y,mount,,F,isolated,O,female,
93,1,9:24:20 AM,,",9","0,",y,y,NA,mount,,E,isolated,I,female,
128,1,11:32:39 AM,,",9","0,",Y,Y,NA,mount,,E,isolated,I,female,
120,1,11:12:15 AM,,",0","8,",y,n,y,mount,,H,isolated,N,female,
30,1,8:19:54 AM,,",0","7,",y,y,NA,mount,,H,isolated,M,female,
133,1,11:43:40 AM,,",9","0,",y,y,NA,mount,,E,isolated,I,female,
170,1,2:04:54 PM,,",2","0,",n,NA,y,mount,,D,social,I,female,
38,1,8:22:46 AM,,",4",",8",,,,mount,,G,isolated,C,male,
171,1,2:28:51 PM,,",2","0,",n,NA,y,mount,,D,social,I,female,
48,1,8:31:39 AM,,",4",",8",,,,mount,,G,isolated,C,male,
34,1,8:22:07 AM,,",8",",4",,,,mount,,C,social,G,male,
135,1,11:50:36 AM,,",9","0,",y,y,NA,mount,,E,isolated,I,female,
90,1,9:19:36 AM,,",7","3,",n,NA,y,mount,,F,isolated,K,female,
36,1,8:22:45 AM,,",0","7,",y,y,NA,mount,,H,isolated,M,female,
91,1,9:21:19 AM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
94,1,9:25:27 AM,,",7","3,",n,NA,y,mount,,F,isolated,K,female,
6,1,8:02:58 AM,,",0",",7",,,,mount,,H,isolated,F,male,
136,1,11:54:32 AM,,",9","0,",y,y,NA,mount,,E,isolated,I,female,
95,1,9:26:01 AM,,",7","3,",n,NA,y,mount,,F,isolated,K,female,
96,1,9:28:30 AM,,",7","3,",n,NA,y,mount,,F,isolated,K,female,
100,1,9:39:45 AM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
147,1,12:38:58 PM,,",9","8,",y,y,NA,mount,,E,isolated,N,female,
66,1,8:49:45 AM,,",4",",8",,,,mount,,G,isolated,C,male,
14,1,8:05:22 AM,,",0",",2",,,,mount,,H,isolated,D,male,
110,1,10:25:50 AM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
41,1,8:26:00 AM,,",5",",7",,,,mount,,B,social,F,male,
68,1,8:52:16 AM,,",4",",8",,,,mount,,G,isolated,C,male,
148,1,12:40:01 PM,,",9","8,",y,y,NA,mount,,E,isolated,N,female,
150,1,12:42:01 PM,,",9","8,",y,y,NA,mount,,E,isolated,N,female,
172,1,2:31:50 PM,,",2","0,",n,NA,y,mount,,D,social,I,female,
173,1,2:33:53 PM,,",2","0,",n,NA,y,mount,,D,social,I,female,
27,1,8:17:38 AM,8:20:43 AM,",1","5,",y,n,n,insemination,,A,social,P,female,
52,1,8:34:22 AM,,",1","7,",y,y,NA,mount,,A,social,M,female,
160,1,1:28:09 PM,,",9","2,",y,y,NA,mount,,E,isolated,J,female,
111,1,10:26:49 AM,10:27:16 AM,",7","8,",n,NA,y,mount,was a bit unclear if insemination,F,isolated,N,female,
114,1,10:52:59 AM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
46,1,8:28:50 AM,,",8",",4",,,,mount,,C,social,G,male,
174,1,2:37:36 PM,,",2","8,",n,NA,y,mount,,D,social,N,female,
118,1,11:08:10 AM,,",7","8,",n,NA,y,mount,not as much of an abort as another female was in the way,F,isolated,N,female,
175,1,2:37:53 PM,,",2","8,",n,NA,y,mount,,D,social,N,female,
141,1,12:28:25 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
177,1,2:40:19 PM,,",2","0,",n,NA,y,mount,,D,social,I,female,
162,1,1:31:12 PM,,",7","3,",n,NA,y,mount,,F,isolated,K,female,
124,1,11:24:23 AM,11:24:44 AM,",2","0,",Y,N,N,insemination,,D,social,I,female,
43,1,8:26:35 AM,,",0",",9",,,,mount,,H,isolated,O,male,
164,1,1:34:17 PM,,",7","3,",n,NA,y,mount,,F,isolated,K,female,
165,1,1:43:34 PM,,",2","0,",y,n,y,mount,,D,social,I,female,
35,1,8:22:23 AM,,",2","7,",y,y,NA,mount,,D,social,M,female,
122,1,11:13:35 AM,,",2","2,",y,y,NA,mount,,D,social,J,female,
59,1,8:40:30 AM,,",8",",4",,,,mount,,C,social,G,male,
64,1,8:46:17 AM,,",8",",4",,,,mount,,C,social,G,male,
86,1,9:14:53 AM,,",8",",5",,,,mount,,C,social,B,male,
4,1,8:02:57 AM,,",9",",7",,,,mount,,E,isolated,F,male,
7,1,8:02:59 AM,,",9",",7",,,,mount,,E,isolated,F,male,
11,1,8:04:08 AM,,",9",",2",,,,mount,,E,isolated,D,male,
131,1,11:43:01 AM,,",2","0,",y,y,NA,mount,,D,social,I,female,
16,1,8:06:27 AM,,",9",",2",,,,mount,,E,isolated,D,male,
26,1,8:17:18 AM,,",9",",7",,,,mount,,E,isolated,F,male,
144,1,12:33:23 PM,,",2","8,",y,y,NA,mount,,D,social,N,female,
