replicate,day,start_time,end_time,focal,partner,partner_avoid,avoid_success,male_abort,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
1,1,10:07:44 AM,,",9","0,",y,y,NA,mount,,B,social,I,female
1,1,10:08:10 AM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,10:09:24 AM,,",9",",0",,,,mount,,B,social,E,male
1,1,10:11:53 AM,,",4",",0",,,,mount,,A,social,E,male
1,1,10:13:51 AM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,10:17:17 AM,,",4",",0",,,,mount,,A,social,E,male
1,1,10:17:35 AM,,",4",",0",,,,mount,,A,social,E,male
1,1,10:17:55 AM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,10:22:13 AM,,",2","6,",n,NA,y,mount,,C,social,N,female
1,1,10:23:46 AM,,",8","9,",y,y,NA,mount,,F,isolated,P,female
1,1,10:24:00 AM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,10:24:40 AM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,10:26:53 AM,,",8","9,",y,y,NA,mount,,F,isolated,P,female
1,1,10:27:30 AM,10:27:53 AM,",9","6,",n,NA,n,insemination,,B,social,N,female
1,1,10:29:27 AM,,",2","4,",y,n,y,mount,,C,social,L,female
1,1,10:30:33 AM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,10:30:45 AM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,10:31:29 AM,,",9",",7",,,,mount,,B,social,G,male
1,1,10:31:43 AM,,",7",",9",,,,mount,,G,isolated,B,male
1,1,10:32:02 AM,,",9",",7",,,,mount,,B,social,G,male
1,1,10:33:06 AM,10:33:36 AM,",2","1,",n,NA,n,insemination,,C,social,J,female
1,1,10:36:30 AM,,",1","0,",y,y,NA,mount,,D,social,I,female
1,1,10:37:18 AM,,",4","9,",n,NA,y,mount,,A,social,P,female
1,1,10:40:55 AM,,",0",",4",,,,mount,,E,isolated,A,male
1,1,10:42:35 AM,,",4",",0",,,,mount,,A,social,E,male
1,1,10:43:00 AM,,",4","9,",n,NA,y,mount,,A,social,P,female
1,1,10:46:03 AM,,",4","9,",n,NA,y,mount,,A,social,P,female
1,1,10:46:43 AM,,",4",",0",,,,mount,,A,social,E,male
1,1,10:47:23 AM,,",0","0,",y,y,NA,mount,,E,isolated,I,female
1,1,10:47:38 AM,,",7",",9",,,,mount,,G,isolated,B,male
1,1,10:48:27 AM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,11:05:30 AM,,",4","6,",y,y,NA,mount,,A,social,N,female
1,1,11:05:39 AM,,",4",",0",,,,mount,,A,social,E,male
1,1,11:05:44 AM,,",0",",4",,,,mount,,E,isolated,A,male
1,1,11:07:39 AM,,",0","9,",n,NA,y,mount,,E,isolated,P,female
1,1,11:10:04 AM,,",0","9,",n,NA,y,mount,,E,isolated,P,female
1,1,11:12:31 AM,,",3",",1",,,,mount,,H,isolated,D,male
1,1,11:13:42 AM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,11:16:11 AM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,11:16:55 AM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,1,11:18:12 AM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,11:26:44 AM,,",3",",1",,,,mount,,H,isolated,D,male
1,1,11:28:55 AM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,11:32:01 AM,,",1",",4",,,,mount,,D,social,A,male
1,1,11:32:24 AM,11:33:04 AM,",0","4,",n,NA,n,insemination,,E,isolated,L,female
1,1,11:34:31 AM,,",9",",8",,,,mount,,B,social,F,male
1,1,11:37:47 AM,,",0","4,",y,y,NA,mount,,E,isolated,L,female
1,1,11:39:45 AM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,11:39:59 AM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,11:40:30 AM,11:40:55 AM,",1","6,",n,NA,n,insemination,,D,social,N,female
1,1,11:42:16 AM,,",9",",8",,,,mount,,B,social,F,male
1,1,11:42:25 AM,,",3",",6",y,y,NA,mount,,H,isolated,NA,male
1,1,11:42:39 AM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,11:43:34 AM,,",9","9,",n,NA,y,mount,,B,social,P,female
1,1,11:46:41 AM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,11:47:43 AM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,11:48:09 AM,,",4","4,",n,NA,y,mount,,A,social,L,female
1,1,11:50:38 AM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,11:52:19 AM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,12:03:42 PM,,",8","4,",n,NA,y,mount,,F,isolated,L,female
1,1,12:03:54 PM,,",9","8,",n,NA,y,mount,,B,social,O,female
1,1,12:04:05 PM,,",4","9,",n,NA,y,mount,,A,social,P,female
1,1,12:05:52 PM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,12:06:25 PM,12:07:01 PM,",7","9,",n,NA,n,insemination,,G,isolated,P,female
1,1,12:08:09 PM,,",7","9,",n,NA,y,mount,,G,isolated,P,female
1,1,12:08:27 PM,,",9","9,",n,NA,y,mount,,B,social,P,female
1,1,12:08:43 PM,,",8","9,",n,NA,y,mount,,F,isolated,P,female
1,1,12:09:34 PM,,",3",",1",,,,mount,,H,isolated,D,male
1,1,12:09:48 PM,,",7","9,",n,NA,y,mount,,G,isolated,P,female
1,1,12:09:58 PM,,",2",",3",,,,mount,,C,social,H,male
1,1,12:10:08 PM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,1,12:11:07 PM,,",4","9,",y,y,NA,mount,,A,social,P,female
1,1,12:13:17 PM,,",2","1,",y,y,y,mount,,C,social,J,female
1,1,12:14:01 PM,,",2","8,",,,y,mount,,C,social,O,female
1,1,12:19:49 PM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,12:20:59 PM,12:21:46 PM,",0","4,",n,NA,n,insemination,,E,isolated,L,female
1,1,12:23:33 PM,,",8","9,",y,y,NA,mount,,F,isolated,P,female
1,1,12:37:03 PM,,",2","8,",,,y,mount,,C,social,O,female
1,1,12:37:58 PM,,",2","8,",,,,mount,,C,social,O,female
1,1,12:38:18 PM,,",0","4,",y,y,NA,mount,,E,isolated,L,female
1,1,12:39:42 PM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,1,12:40:41 PM,,",2","1,",,,,mount,,C,social,J,female
1,1,12:41:33 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,12:42:28 PM,,",9","8,",n,NA,y,mount,,B,social,O,female
1,1,12:42:32 PM,,",7",",9",,,,mount,,G,isolated,B,male
1,1,12:43:06 PM,,",9",",4",,,,mount,,B,social,A,male
1,1,12:43:12 PM,,",8",",9",,,,mount,,F,isolated,B,male
1,1,12:43:18 PM,,",8",",4",,,,mount,,F,isolated,A,male
1,1,12:43:25 PM,,",2",",1",,,,mount,,C,social,D,male
1,1,12:43:41 PM,,",4",",7",,,,mount,,A,social,G,male
1,1,12:43:41 PM,,",7",",4",,,,mount,,G,isolated,A,male
1,1,12:44:33 PM,,",7","8,",n,NA,y,mount,,G,isolated,O,female
1,1,12:46:42 PM,,",1",",3",,,,mount,,D,social,H,male
1,1,12:47:31 PM,,",0",",4",,,,mount,,E,isolated,A,male
1,1,12:47:57 PM,,",8","8,",n,NA,y,mount,,F,isolated,O,female
