day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,8:01:09 AM,,,,,,,trial start,"Start 25.9degC, 46 RH"
1,8:01:20 AM,,",2",",9",,,,mount,
1,8:01:27 AM,,",4",",1",,,,mount,
1,8:01:57 AM,8:03:09 AM,",8","4,",n,NA,n,insemination,
1,8:02:05 AM,8:05:15 AM,",4","7,",n,NA,n,insemination,
1,8:02:47 AM,,",1",",4",,,,mount,
1,8:04:04 AM,,",8","6,",n,NA,y,mount,
1,8:04:25 AM,,",7","7,",n,NA,y,mount,
1,8:04:32 AM,,",1","7,",y,y,NA,mount,
1,8:05:03 AM,,",9",",2",,,,mount,
1,8:05:03 AM,,",2",",3",,,,mount,
1,8:06:28 AM,8:07:11 AM,",7","7,",n,NA,n,insemination,
1,8:07:14 AM,,",4",",7",,,,mount,
1,8:07:45 AM,8:08:47 AM,",4","3,",n,NA,n,insemination,
1,8:07:58 AM,,",7",",4",,,,mount,
1,8:08:16 AM,,",7","4,",y,y,NA,mount,
1,8:09:06 AM,8:10:37 AM,",8","4,",n,NA,n,insemination,
1,8:09:45 AM,,",7","7,",y,y,NA,mount,
1,8:10:08 AM,,",8","4,",n,NA,y,mount,
1,8:11:08 AM,,",4","5,",n,NA,y,mount,
1,8:11:19 AM,,",7","7,",n,NA,y,mount,
1,8:11:39 AM,8:13:07 AM,",4","0,",n,NA,n,insemination,
1,8:11:51 AM,,",2",",1",,,,mount,
1,8:12:55 AM,,",7","7,",n,NA,y,mount,
1,8:13:46 AM,,",4","3,",n,NA,y,mount,
1,8:14:02 AM,,",8",",9",,,,mount,
1,8:14:19 AM,,",8",",2",,,,mount,
1,8:14:26 AM,,",2",",1",,,,mount,
1,8:14:39 AM,,",4","3,",n,NA,y,mount,
1,8:15:53 AM,,",4","8,",n,NA,y,mount,
1,8:16:30 AM,,",4","3,",n,NA,y,mount,
1,8:17:13 AM,,",4","8,",y,n,y,mount,
1,8:21:32 AM,,",9",",2",,,,mount,
1,8:22:56 AM,,",8",",2",,,,mount,
1,8:23:03 AM,,",2",",8",,,,mount,
1,8:23:21 AM,,",7","7,",n,NA,y,mount,
1,8:24:14 AM,,",4","5,",n,NA,y,mount,
1,8:24:27 AM,,",4","5,",n,NA,y,mount,
1,8:24:29 AM,,",4","5,",n,NA,y,mount,
1,8:24:43 AM,,",4","5,",n,NA,y,mount,
1,8:24:50 AM,8:25:57 AM,",4","8,",n,NA,n,insemination,
1,8:25:03 AM,8:25:58 AM,",3","3,",n,NA,n,insemination,
1,8:26:28 AM,,",2",",9",,,,mount,
1,8:26:36 AM,,",3",",2",,,,mount,
1,8:26:45 AM,,",4","0,",n,NA,y,mount,
1,8:27:09 AM,,",3",",2",,,,mount,
1,8:27:24 AM,,",8",",3",,,,mount,
1,8:27:52 AM,,",2",",8",,,,mount,
1,8:28:00 AM,,",3",",2",,,,mount,
1,8:28:02 AM,,",3",",2",,,,mount,
1,8:30:17 AM,,",9",",2",,,,mount,
1,8:30:26 AM,,",3",",9",,,,mount,
1,8:31:04 AM,,",3",",9",,,,mount,
1,8:31:11 AM,,",2",",3",,,,mount,
1,8:32:46 AM,8:33:11 AM,",2","6,",n,NA,n,insemination,
1,8:34:50 AM,,",3",",2",,,,mount,
1,8:35:37 AM,8:36:08 AM,",4","5,",n,NA,n,insemination,
1,8:38:22 AM,8:38:50 AM,",2","8,",n,NA,n,insemination,
1,8:39:47 AM,,",2",",3",,,,mount,
1,8:40:06 AM,,",8",",1",,,,mount,
1,8:40:30 AM,8:41:16 AM,",7","0,",n,NA,n,insemination,
1,8:41:26 AM,,",2",",3",,,,mount,
1,8:42:44 AM,,",3",",9",,,,mount,
1,8:42:55 AM,,",2","8,",y,n,y,mount,
1,8:43:56 AM,,",9",",2",,,,mount,
1,8:44:15 AM,,",3",",9",,,,mount,
1,8:49:14 AM,,",2",",8",,,,mount,
1,8:53:57 AM,,",3",",9",,,,mount,
1,8:54:13 AM,,",2",",9",,,,mount,
1,8:54:50 AM,,",7","0,",n,NA,n,insemination,
1,9:00:59 AM,,",8",",1",,,,mount,
1,9:04:19 AM,,",5","4,",n,NA,y,mount,
1,9:04:42 AM,,",8","3,",n,NA,y,mount,
1,9:05:48 AM,,",4","5,",n,NA,y,mount,
1,9:06:04 AM,,",4","5,",n,NA,y,mount,
1,9:11:27 AM,,",2",",3",,,,mount,
1,9:15:16 AM,9:16:14 AM,",5","4,",n,NA,n,insemination,
1,9:19:54 AM,,",3",",2",,,,mount,
1,9:22:46 AM,9:23:24 AM,",7","5,",n,NA,n,insemination,
1,9:23:09 AM,,",4",",7",,,,mount,
1,9:24:50 AM,,",4",",7",,,,mount,
1,9:43:26 AM,9:44:01 AM,",5","4,",n,NA,n,insemination,
1,9:48:55 AM,,",8","3,",n,NA,y,mount,
1,10:03:53 AM,,",9",",2",,,,mount,
1,10:04:01 AM,,",3",",9",,,,mount,
1,10:29:46 AM,,",2","6,",y,y,NA,mount,
1,10:29:57 AM,,",2","6,",n,NA,y,mount,
1,10:30:14 AM,,",2","6,",y,y,NA,mount,
1,10:51:35 AM,,",8","4,",y,y,NA,mount,
1,10:51:39 AM,,",3",",8",,,,mount,
1,10:52:27 AM,10:52:45 AM,",2","4,",y,n,n,insemination,
1,10:53:24 AM,,",2","4,",y,y,NA,mount,
1,11:00:48 AM,11:02:00 AM,",3","4,",n,NA,n,insemination,
1,11:03:40 AM,,",9",",3",,,,mount,
1,11:07:14 AM,11:07:46 AM,",9","6,",n,NA,N,insemination,
1,11:09:25 AM,,",3",",9",,,,mount,
1,11:12:52 AM,,",9","4,",Y,Y,NA,mount,
1,11:15:49 AM,,",9",",2",,,,mount,
1,11:20:08 AM,,",3",",2",,,,mount,
1,11:20:29 AM,,",9",",2",,,,mount,
1,11:26:38 AM,11:27:05 AM,",4","0,",n,NA,n,insemination,
1,11:28:06 AM,,",4",",7",,,,mount,
1,11:28:32 AM,,",8",",9",,,,mount,
1,11:28:41 AM,11:28:55 AM,",9","3,",n,NA,n,insemination,
1,11:30:08 AM,,",3",",8",,,,mount,
1,11:30:15 AM,,",3",",8",,,,mount,
1,11:31:52 AM,,",3","3,",y,n,y,mount,
1,11:35:18 AM,,",1",",9",,,,mount,
1,11:35:27 AM,,",8",",3",,,,mount,
1,11:35:54 AM,11:36:44 AM,",1","3,",n,NA,n,insemination,
1,11:36:58 AM,,",5","8,",n,NA,y,mount,
1,11:39:25 AM,,",3",",9",,,,mount,
1,11:50:24 AM,11:50:45 AM,",4","5,",y,n,n,insemination,
1,11:50:56 AM,,",7",",4",,,,mount,
1,11:52:51 AM,,",4","5,",y,y,NA,mount,
1,11:57:23 AM,,",4","7,",y,y,NA,mount,
1,12:04:25 PM,,",4","7,",y,y,NA,mount,
1,12:05:00 PM,12:05:16 PM,",7","5,",y,n,n,insemination,
1,12:06:30 PM,,",4",",7",,,,mount,
1,12:06:37 PM,,",4",",7",,,,mount,
1,12:16:26 PM,,",3",",9",,,,mount,
1,12:16:31 PM,,",2",",3",,,,mount,
1,12:34:57 PM,,",2",",3",,,,mount,
1,12:42:54 PM,,",3",",9",,,,mount,
1,12:47:27 PM,,",8","5,",y,n,y,mount,
1,12:47:38 PM,12:48:16 PM,",3","5,",y,n,n,insemination,
1,12:48:06 PM,,",9","6,",y,y,NA,mount,
1,12:49:20 PM,,",9","2,",y,n,y,mount,
1,1:06:19 PM,,",4","0,",y,y,NA,mount,
1,1:07:48 PM,,",9",",3",,,,mount,
1,1:19:15 PM,,",9","6,",y,y,NA,mount,
1,1:27:42 PM,,",9","5,",y,y,NA,mount,
1,1:30:09 PM,,",3","5,",y,y,NA,mount,
1,1:31:18 PM,1:32:11 PM,",3","3,",n,NA,n,insemination,
1,2:03:39 PM,2:04:10 PM,",8","6,",n,NA,n,insemination,
1,2:08:23 PM,,",3",",8",,,,mount,
1,2:08:31 PM,,",2",",3",,,,mount,
1,2:08:55 PM,,",8",",3",,,,mount,
1,2:09:09 PM,,",2",",3",,,,mount,
1,2:09:09 PM,2:10:49 PM,",3","0,",y,n,n,insemination,refusal stance
1,2:14:58 PM,,",3",",2",,,,mount,
1,2:20:32 PM,2:20:54 PM,",4","4,",n,NA,n,insemination,
