day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,8:02:09 AM,,,,,,,trial start,26.0 degC 56RH
1,8:02:49 AM,,",5",",2",,,,mount,
1,8:02:49 AM,,",7",",9",,,,mount,
1,8:03:04 AM,,",8",",2",,,,mount,
1,8:03:05 AM,8:03:58 AM,",1","8,",n,NA,n,insemination,
1,8:03:05 AM,,",0",",8",,,,mount,
1,8:03:16 AM,,",7","4,",y,n,y,mount,
1,8:03:44 AM,,",5",",3",,,,mount,
1,8:04:12 AM,,",7",",1",,,,mount,
1,8:04:28 AM,8:05:33 AM,",7","4,",y,n,n,insemination,
1,8:05:17 AM,,",9",",5",,,,mount,
1,8:05:39 AM,,",5",",9",,,,mount,
1,8:06:28 AM,8:07:38 AM,",1","1,",n,NA,n,insemination,
1,8:07:45 AM,,",7","4,",n,NA,y,mount,
1,8:08:00 AM,,",3",",9",,,,mount,
1,8:08:13 AM,,",9",",8",,,,mount,
1,8:08:17 AM,,",7",",1",,,,mount,
1,8:08:57 AM,,",0",",8",,,,mount,
1,8:09:04 AM,,",8",",3",,,,mount,
1,8:09:08 AM,,",3",",8",,,,mount,
1,8:09:16 AM,,",9",",8",,,,mount,
1,8:09:41 AM,,",2",",5",,,,mount,
1,8:09:53 AM,,",7","4,",n,NA,y,mount,
1,8:10:08 AM,,",8",",9",,,,mount,
1,8:10:34 AM,,",7",",1",,,,mount,
1,8:11:04 AM,,",7",",1",,,,mount,
1,8:11:45 AM,8:12:39 AM,",7","6,",n,NA,n,insemination,
1,8:13:35 AM,,",9",",2",,,,mount,
1,8:13:48 AM,,",2",",5",,,,mount,
1,8:13:52 AM,,",2",",5",,,,mount,
1,8:14:12 AM,,",5",",9",,,,mount,
1,8:14:19 AM,,",5",",2",,,,mount,
1,8:14:29 AM,,",5",",2",,,,mount,
1,8:16:01 AM,,",1","1,",n,NA,y,mount,
1,8:25:47 AM,,",1","5,",n,NA,y,mount,
1,8:25:57 AM,8:26:35 AM,",7","5,",n,NA,n,insemination,
1,8:26:08 AM,,",1",",7",,,,mount,
1,8:27:26 AM,,",1",",7",,,,mount,
