day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,8:01:27 AM,,,,,,,trial start,"temp = 26.3 C, 51% RH"
1,8:01:35 AM,8:03:00 AM,",2","5,",n,NA,n,insemination,
1,8:01:44 AM,8:02:31 AM,",8","0,",n,NA,n,insemination,
1,8:02:50 AM,,",9",",1",,,,mount,
1,8:04:31 AM,,",0",",4",,,,mount,
1,8:04:40 AM,,",4",",3",,,,mount,
1,8:04:53 AM,,",3",",0",,,,mount,
1,8:05:23 AM,,",1",",7",,,,mount,
1,8:06:04 AM,,",2","5,",n,NA,y,mount,
1,8:06:51 AM,,",0",",3",,,,mount,
1,8:06:52 AM,,",7",",1",,,,mount,
1,8:07:09 AM,,",1",",9",,,,mount,
1,8:07:30 AM,,",9",",1",,,,mount,
1,8:08:27 AM,,",0",",1",,,,mount,
1,8:08:34 AM,,",0",",3",,,,mount,
1,8:08:40 AM,,",0","2,",n,NA,y,mount,
1,8:08:56 AM,,",0",",3",,,,mount,
1,8:09:26 AM,8:11:29 AM,",0","2,",n,NA,n,insemination,
1,8:12:09 AM,,",0","2,",n,NA,y,mount,
1,8:12:19 AM,,",1",",0",,,,mount,
1,8:16:26 AM,,",2","9,",n,NA,y,mount,
1,8:16:42 AM,,",0","2,",n,NA,y,mount,
1,8:21:41 AM,,",2","4,",y,y,NA,mount,
1,8:21:54 AM,,",0","2,",n,NA,y,mount,
1,8:22:16 AM,8:23:33 AM,",2","1,",n,NA,n,insemination,
1,8:23:00 AM,,",1",",3",,,,mount,
1,8:24:06 AM,,",0","2,",n,NA,y,mount,
1,8:24:48 AM,,",0","2,",n,NA,y,mount,
1,8:25:23 AM,,",0","2,",y,y,NA,mount,
1,8:28:44 AM,,",3",",1",,,,mount,
1,8:30:08 AM,,",4",",3",,,,mount,
1,8:30:18 AM,,",4",",1",,,,mount,
1,8:30:40 AM,,",4",",1",,,,mount,
1,8:31:26 AM,,",2","4,",n,NA,y,mount,
1,8:34:08 AM,,",2","1,",n,NA,y,mount,
1,8:34:26 AM,,",2","9,",n,NA,y,mount,
1,8:34:41 AM,,",4",",1",,,,mount,
1,8:34:59 AM,,",2","2,",n,NA,y,mount,
1,8:36:13 AM,,",2","5,",n,NA,y,mount,
1,8:37:37 AM,,",2","4,",n,NA,y,mount,
1,8:39:10 AM,,",2","4,",n,NA,y,mount,
1,8:40:03 AM,,",2","9,",n,NA,y,mount,
1,8:40:56 AM,,",2","8,",n,NA,y,mount,
1,8:44:20 AM,,",3",",4",,,,mount,
1,8:47:58 AM,,",2","4,",n,NA,y,mount,
1,8:49:41 AM,,",8",",7",,,,mount,
1,8:49:54 AM,,",8","0,",y,y,NA,mount,
1,8:50:14 AM,,",8","0,",y,y,NA,mount,
1,8:50:25 AM,,",8",",7",,,,mount,
1,8:50:55 AM,,",8",",7",,,,mount,
1,8:51:43 AM,,",2","2,",y,y,NA,mount,
1,8:51:59 AM,,",4",",3",,,,mount,
1,8:52:43 AM,,",0","0,",n,NA,y,mount,
1,8:53:57 AM,,",2","5,",n,NA,y,mount,
1,8:55:46 AM,,",7",",8",,,,mount,
1,9:04:32 AM,,",3",",4",,,,mount,
1,9:05:52 AM,,",2","6,",n,NA,y,mount,
1,9:06:52 AM,,",0","0,",n,NA,y,mount,
1,9:08:10 AM,,",1","0,",n,NA,y,mount,
1,9:09:06 AM,,",3","4,",,,,mount,
1,9:09:25 AM,9:10:01 AM,",8","9,",n,NA,n,insemination,
1,9:12:40 AM,,",2","4,",n,NA,y,mount,
1,9:15:30 AM,,",7",",8",,,,mount,
1,9:15:39 AM,,",8",",7",,,,mount,
1,9:15:48 AM,,",3",",1",,,,mount,
1,9:16:27 AM,,",3",",1",,,,mount,
1,9:19:29 AM,,",8","9,",n,NA,y,mount,
1,9:23:51 AM,,",7","9,",n,NA,y,mount,
1,9:25:13 AM,,",8","9,",y,y,NA,mount,
1,9:31:22 AM,,",1",",3",,,,mount,
1,9:33:20 AM,,",2","8,",n,NA,y,mount,
1,9:35:41 AM,,",2","8,",n,NA,y,mount,
1,9:39:01 AM,9:39:41 AM,",2","4,",n,NA,n,insemination,
1,9:43:08 AM,,",2","5,",y,y,NA,mount,refusal posture
1,9:44:47 AM,,",4",",3",,,,mount,
1,9:50:07 AM,,",3",",4",,,,mount,
1,10:01:43 AM,,",0",",9",,,,mount,
1,10:06:25 AM,,",1",",3",,,,mount,
1,10:06:52 AM,,",1",",4",,,,mount,
1,10:07:22 AM,,",9",",0",,,,mount,
1,10:07:29 AM,,",0",",9",,,,mount,
1,10:07:44 AM,,",9","0,",y,y,NA,mount,
1,10:08:10 AM,,",7",",8",,,,mount,
1,10:09:24 AM,,",9",",0",,,,mount,
1,10:11:53 AM,,",4",",0",,,,mount,
1,10:13:51 AM,,",2","8,",n,NA,y,mount,
1,10:17:17 AM,,",4",",0",,,,mount,
1,10:17:35 AM,,",4",",0",,,,mount,
1,10:17:55 AM,,",8",",7",,,,mount,
1,10:22:13 AM,,",2","6,",n,NA,y,mount,
1,10:23:46 AM,,",8","9,",y,y,NA,mount,
1,10:24:00 AM,,",7",",8",,,,mount,
1,10:24:40 AM,,",7",",8",,,,mount,
1,10:26:53 AM,,",8","9,",y,y,NA,mount,
1,10:27:30 AM,10:27:53 AM,",9","6,",n,NA,n,insemination,
1,10:29:27 AM,,",2","4,",y,n,y,mount,
1,10:30:33 AM,,",8",",7",,,,mount,
1,10:30:45 AM,,",7",",8",,,,mount,
1,10:31:29 AM,,",9",",7",,,,mount,
1,10:31:43 AM,,",7","9,",,,,mount,
1,10:32:02 AM,,",9",",7",,,,mount,
1,10:33:06 AM,10:33:36 AM,",2","1,",n,NA,n,insemination,
1,10:36:30 AM,,",1","0,",y,y,NA,mount,
1,10:37:18 AM,,",4","9,",n,NA,y,mount,
1,10:40:55 AM,,",0",",4",,,,mount,
1,10:42:35 AM,,",4",",0",,,,mount,
1,10:43:00 AM,,",4","9,",n,NA,y,mount,
1,10:46:03 AM,,",4","9,",n,NA,y,mount,
1,10:46:43 AM,,",4",",0",,,,mount,
1,10:47:23 AM,,",0","0,",y,y,NA,mount,
1,10:47:38 AM,,",7",",9",,,,mount,
1,10:48:27 AM,,",7",",8",,,,mount,
1,11:05:30 AM,,",4","6,",y,y,NA,mount,
1,11:05:39 AM,,",4",",0",,,,mount,
1,11:05:44 AM,,",0",",4",,,,mount,
1,11:07:39 AM,,",0","9,",n,NA,y,mount,
1,11:10:04 AM,,",0","9,",n,NA,y,mount,
1,11:12:31 AM,,",3",",1",,,,mount,
1,11:13:42 AM,,",8",",7",,,,mount,
1,11:16:11 AM,,",8",",7",,,,mount,
1,11:16:55 AM,,",2","1,",n,NA,y,mount,
1,11:18:12 AM,,",8",",7",,,,mount,
1,11:26:44 AM,,",3",",1",,,,mount,
1,11:28:55 AM,,",2","8,",n,NA,y,mount,
1,11:32:01 AM,,",1",",4",,,,mount,
1,11:32:24 AM,11:33:04 AM,",0","4,",n,NA,n,insemination,
1,11:34:31 AM,,",9",",8",,,,mount,
1,11:37:47 AM,,",0","4,",y,y,NA,mount,
1,11:39:45 AM,,",0","4,",n,NA,y,mount,
1,11:39:59 AM,,",2","8,",n,NA,y,mount,
1,11:40:30 AM,11:40:55 AM,",1","6,",n,NA,n,insemination,
1,11:42:16 AM,,",9",",8",,,,mount,
1,11:42:25 AM,,",3",",6",y,y,NA,mount,
1,11:42:39 AM,,",0","4,",n,NA,y,mount,
1,11:43:34 AM,,",9","9,",n,NA,y,mount,
1,11:46:41 AM,,",0","4,",n,NA,y,mount,
1,11:47:43 AM,,",0","4,",n,NA,y,mount,
1,11:48:09 AM,,",4","4,",n,NA,y,mount,
1,11:50:38 AM,,",2","8,",n,NA,y,mount,
1,11:52:19 AM,,",0","4,",n,NA,y,mount,
