partner,patch_partner
.8,A
:6,B
:0,C
.5,D
.9,E
.7,F
.2,G
.3,H
.6,I
.1,J
:1,K
.0,L
",9",E
0.,M
1.,N
2.,O
3.,P
4.,Q
5.,R
6.,S
7.,T
8.,U
9.,V
0:,W
1:,X
"6,",S
1;,X
",.6",I
0;,W
6:,B
