"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"117",1,"11:12:31 AM","",",3",",1","","","","mount","","H","isolated","D","male"
"118",1,"11:13:42 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"119",1,"11:16:11 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"120",1,"11:16:55 AM","",",2","1,","n",NA,"y","mount","","C","social","J","female"
"121",1,"11:18:12 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"122",1,"11:26:44 AM","",",3",",1","","","","mount","","H","isolated","D","male"
"123",1,"11:28:55 AM","",",2","8,","n",NA,"y","mount","","C","social","O","female"
"124",1,"11:32:01 AM","",",1",",4","","","","mount","","D","social","A","male"
"125",1,"11:32:24 AM","11:33:04 AM",",0","4,","n",NA,"n","insemination","","E","isolated","L","female"
"126",1,"11:34:31 AM","",",9",",8","","","","mount","","B","social","F","male"
"127",1,"11:37:47 AM","",",0","4,","y","y",NA,"mount","","E","isolated","L","female"
"128",1,"11:39:45 AM","",",0","4,","n",NA,"y","mount","","E","isolated","L","female"
