"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"295",2,"8:30:56 AM","",",4",",2","","","","mount","","A","social","C","male"
"296",2,"8:36:16 AM","",",8","5,","n",NA,"y","mount","","F","isolated","M","female"
"297",2,"8:37:27 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"298",2,"9:28:33 AM","",",1","2,","n",NA,"y","mount","","D","social","K","female"
"299",2,"10:14:16 AM","",",2","2,","y","n","y","mount","","C","social","K","female"
"300",2,"10:14:44 AM","",",9",",2","","","","mount","","B","social","C","male"
"301",2,"11:30:36 AM","",",4",",2","","","","mount","","A","social","C","male"
"302",2,"11:30:42 AM","",",2","MALE","","","","mount","","C","social",NA,"male"
"303",2,"11:30:50 AM","",",9",",4","","","","mount","","B","social","A","male"
"304",2,"11:31:01 AM","",",1",",9","","","","mount","","D","social","B","male"
"305",2,"11:35:45 AM","",",4",",2","","","","mount","","A","social","C","male"
"306",2,"11:33:17 AM","",",4",",2","","","","mount","","A","social","C","male"
"307",2,"11:33:31 AM","",",2","1,","n",NA,"y","mount","","C","social","J","female"
"308",2,"11:34:11 AM","",",9",",2","","","","mount","","B","social","C","male"
"309",2,"11:35:54 AM","",",2",",4","","","","mount","","C","social","A","male"
"310",2,"11:37:31 AM","",",2","2,","n",NA,"y","mount","","C","social","K","female"
"311",2,"11:38:16 AM","",",9",",4","","","","mount","","B","social","A","male"
"312",2,"11:38:57 AM","",",2","2,","n",NA,"y","mount","","C","social","K","female"
"313",2,"11:39:51 AM","11:40:20 AM",",7","6,","n",NA,"n","insemination","","G","isolated","N","female"
"314",2,"11:40:09 AM","",",8",",0","","","","mount","","F","isolated","E","male"
"315",2,"11:40:25 AM","",",0",",8","","","","mount","","E","isolated","F","male"
"316",2,"11:40:33 AM","",",0",",7","","","","mount","","E","isolated","G","male"
"317",2,"11:42:21 AM","11:43:04 AM",",9","8,","n",NA,"n","insemination","","B","social","O","female"
"318",2,"11:42:34 AM","",",7",",0","","","","mount","","G","isolated","E","male"
"319",2,"11:45:04 AM","",",9",",2","","","","mount","","B","social","C","male"
"320",2,"11:47:58 AM","",",8","5,","y","y",NA,"mount","","F","isolated","M","female"
"321",2,"11:50:00 AM","",",9",",2","","","","mount","","B","social","C","male"
"322",2,"11:50:29 AM","",",2","2,","y","n","y","mount","","C","social","K","female"
"323",2,"11:52:01 AM","",",9",",2","","","","mount","","B","social","C","male"
