"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"1",1,"8:01:38 AM","8:02:09 AM",",9","5,","n",NA,"n","insemination","","B","social","M","female"
"2",1,"8:02:05 AM","8:03:04 AM",",8","4,","n",NA,"n","insemination","","E","isolated","L","female"
"3",1,"8:02:05 AM","8:02:31 AM",",1","9,","n",NA,"n","insemination","","A","social","P","female"
"4",1,"8:02:30 AM","",",0","male","","","","mount","","D","social",NA,"male"
"5",1,"8:02:30 AM","",",2",",1","","","","mount","","F","isolated","A","male"
"6",1,"8:02:45 AM","8:04:29 AM",",3","8,","n",NA,"n","insemination","","H","isolated","O","female"
"7",1,"8:03:01 AM","8:04:20 AM",",4","7,","n",NA,"n","insemination","","C","social","N","female"
"8",1,"8:03:58 AM","",",6",",0","","","","mount","watch all prior interactions of video","G","isolated","D","male"
"9",1,"8:04:03 AM","",",8",",2","","","","mount","","E","isolated","F","male"
"10",1,"8:04:30 AM","",",6",",0","","","","mount","","G","isolated","D","male"
"11",1,"8:05:14 AM","8:06:56 AM",",0","1,","n",NA,"n","insemination","watch all prior interactions of video","D","social","I","female"
"12",1,"8:05:15 AM","",",8","4,","n",NA,"y","mount","","E","isolated","L","female"
"13",1,"8:05:29 AM","8:06:59 AM",",1","9,","n",NA,"n","insemination","","A","social","P","female"
"14",1,"8:06:23 AM","",",6",",0","","","","mount","","G","isolated","D","male"
"15",1,"8:06:35 AM","",",9","4,","n",NA,"y","mount","","B","social","L","female"
"16",1,"8:06:47 AM","8:07:49 AM",",2","1,","n",NA,"n","insemination","","F","isolated","I","female"
"17",1,"8:07:55 AM","8:10:34 AM",",1","9,","n",NA,"y","mount","","A","social","P","female"
"18",1,"8:08:13 AM","",",6",",0","","","","mount","","G","isolated","D","male"
"19",1,"8:08:35 AM","",",2","4,","y","y",NA,"mount","","F","isolated","L","female"
"20",1,"8:08:46 AM","",",8",",2","","","","mount","","E","isolated","F","male"
"21",1,"8:08:58 AM","",",8","1,","n",NA,"y","mount","","E","isolated","I","female"
"22",1,"8:09:09 AM","",",9",",1","","","","mount","","B","social","A","male"
"23",1,"8:09:30 AM","",",3","3,","n",NA,"n","insemination","","H","isolated","K","female"
"24",1,"8:09:37 AM","",",9",",3","","","","mount","","B","social","H","male"
"25",1,"8:10:42 AM","",",8",",9","","","","mount","","E","isolated","B","male"
"26",1,"8:11:23 AM","8:11:45 AM",",1","9,","n",NA,"n","insemination","","A","social","P","female"
"27",1,"8:15:43 AM","",",3","9,","n",NA,"n","insemination","","H","isolated","P","female"
"28",1,"8:16:03 AM","",",9",",8","","","","mount","","B","social","E","male"
"29",1,"8:16:17 AM","",",8",",9","","","","mount","","E","isolated","B","male"
"30",1,"8:16:18 AM","",",3","9,","y","y",NA,"mount","","H","isolated","P","female"
"31",1,"8:16:18 AM","8:16:44 AM",",2","3,","n",NA,"n","insemination","","F","isolated","K","female"
"32",1,"8:16:34 AM","",",8","9,","n",NA,"y","mount","","E","isolated","P","female"
"33",1,"8:16:54 AM","",",8",",2","","","","mount","","E","isolated","F","male"
"34",1,"8:17:17 AM","",",8","9,","n",NA,"y","mount","","E","isolated","P","female"
"35",1,"8:18:04 AM","",",3",",9","","","","mount","","H","isolated","B","male"
"36",1,"8:18:12 AM","",",3",",1","","","","mount","","H","isolated","A","male"
