day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,
1,11:32:12 AM,,",1",",6",,,,mount,
1,11:32:29 AM,,",6","9,",y,n,y,mount,
1,11:35:51 AM,,",0",",5",,,,mount,
1,11:39:17 AM,,",7","4,",n,NA,y,mount,
1,11:42:20 AM,11:43:00 AM,",5","8,",n,NA,n,insemination,
1,11:44:59 AM,,",8","4,",n,NA,y,mount,
1,11:46:12 AM,,",5",",0",,,,mount,
1,11:46:57 AM,,",8","4,",n,NA,y,mount,
1,11:50:34 AM,11:50:53 AM,",3","4,",n,NA,y,mount,
1,11:52:18 AM,,",8",",3",,,,mount,
1,11:52:30 AM,,",3",",8",,,,mount,
1,11:53:11 AM,,",3",",8",,,,mount,
1,12:02:40 PM,,",1",",6",,,,mount,
1,12:02:47 PM,,",5",",1",,,,mount,
1,12:16:10 PM,,",0",",6",,,,mount,
1,12:36:24 PM,,",0",",5",,,,mount,
1,12:36:32 PM,,",6",",0",,,,mount,
1,12:36:43 PM,,",1","8,",n,NA,y,mount,
1,12:38:07 PM,,",1",",6",,,,mount,
1,12:38:25 PM,,",1",",5",,,,mount,
1,12:38:30 PM,,",1",",6",,,,mount,
1,12:44:19 PM,,",1",",5",,,,mount,
1,12:46:29 PM,,",5",",1",,,,mount,
1,12:50:06 PM,,",0",",6",,,,mount,
1,12:53:18 PM,,",8","0,",n,NA,y,mount,
1,12:55:02 PM,,",8","9,",n,NA,y,mount,
1,1:02:41 PM,,",8","9,",n,NA,y,mount,
1,1:03:00 PM,,",8","9,",y,y,NA,mount,
1,1:03:56 PM,,",8","9,",n,NA,y,mount,
1,1:04:13 PM,,",7",",8",,,,mount,
1,1:04:20 PM,,",4",",7",,,,mount,
1,1:04:31 PM,,",7",",8",,,,mount,
1,1:06:00 PM,,",8","9,",n,NA,y,mount,
1,1:06:56 PM,,",8","9,",n,NA,y,mount,
1,1:08:15 PM,,",3",",8",,,,mount,
1,1:08:44 PM,1:09:24 PM,",1","9,",n,NA,n,insemination,
1,1:09:43 PM,,",0",",1",,,,mount,
1,1:09:49 PM,,",5",",0",,,,mount,
1,1:11:56 PM,,",6",",1",,,,mount,
1,1:14:13 PM,,",0",",5",,,,mount,
1,1:14:40 PM,,",5",",1",,,,mount,
1,1:14:44 PM,,",1",",6",,,,mount,
1,1:14:44 PM,,",6",",0",,,,mount,
1,1:23:31 PM,,",3","9,",y,y,NA,mount,
1,1:23:42 PM,,",8",",3",,,,mount,
1,1:23:57 PM,,",3","9,",n,NA,y,mount,
1,1:24:15 PM,1:24:45 PM,",4","7,",n,NA,n,insemination,
1,1:25:23 PM,,",4","7,",n,NA,y,mount,
1,1:28:44 PM,,",3",",8",,,,mount,
1,1:29:49 PM,,",8",",3",,,,mount,
1,1:42:43 PM,,",3","9,",n,NA,y,mount,
1,1:43:03 PM,,",8",",3",,,,mount,
1,1:46:21 PM,,",8","6,",n,NA,y,mount,
1,1:52:30 PM,,",1","9,",n,NA,y,mount,
1,1:54:50 PM,,",5",",1",,,,mount,
1,1:55:02 PM,,",1",",5",,,,mount,
1,2:01:50 PM,,",7","2,",y,y,NA,mount,
1,2:06:19 PM,,",3","2,",y,y,NA,mount,
1,2:07:40 PM,,",7","9,",n,NA,y,mount,
1,2:11:33 PM,,",3","2,",y,y,NA,mount,
1,2:12:00 PM,,",7",",4",,,,mount,
1,2:12:50 PM,,",8","9,",n,NA,y,mount,
1,2:14:27 PM,,",4","2,",y,n,y,mount,
1,2:15:33 PM,,",8","9,",y,y,NA,mount,
1,2:16:44 PM,,",8","9,",n,NA,y,mount,
1,2:17:01 PM,,",4","2,",y,y,NA,mount,
1,2:17:31 PM,2:17:56 PM,",8","2,",n,NA,n,insemination,
1,2:20:49 PM,,",7",",4",,,,mount,
1,2:23:09 PM,,",8","9,",n,NA,y,mount,
1,2:23:48 PM,,",8","9,",n,NA,y,mount,
1,2:24:30 PM,,",7",",4",,,,mount,
1,2:31:14 PM,,",0",",6",,,,mount,
1,2:33:41 PM,,",3",",8",,,,mount,
1,2:36:52 PM,,",8","9,",n,NA,y,mount,
1,2:45:18 PM,,",8","9,",y,y,NA,mount,
1,3:02:15 PM,,",8","9,",n,NA,y,mount,
1,3:07:30 PM,,",3","4,",y,y,NA,mount,
1,3:07:56 PM,,",3","4,",n,NA,y,mount,
1,3:11:59 PM,,",3",",8",,,,mount,
1,3:15:58 PM,,",7","4,",n,NA,y,mount,
1,3:18:34 PM,,",7","4,",n,NA,y,mount,
1,3:19:11 PM,,",7","7,",n,NA,y,mount,
1,3:24:03 PM,,",7","4,",n,NA,y,mount,
1,3:26:12 PM,,",7","4,",n,NA,y,mount,
1,3:26:26 PM,,",7","4,",n,NA,y,mount,
1,3:26:47 PM,,",8","9,",n,NA,y,mount,
1,3:27:35 PM,,",3",",7",,,,mount,
1,3:27:40 PM,,",7",",3",,,,mount,
1,3:27:47 PM,3:28:10 PM,",7","4,",n,NA,n,insemination,
1,3:28:48 PM,,",8","9,",n,NA,y,mount,
1,3:49:19 PM,,",7","4,",n,NA,y,mount,
1,3:49:31 PM,,",1",",0",,,,mount,
1,3:49:38 PM,,",5",",1",,,,mount,
1,3:51:09 PM,,",7",",3",,,,mount,
1,3:53:16 PM,,",0",",1",,,,mount,
1,3:53:55 PM,,",5",",1",,,,mount,
1,3:54:58 PM,,",0",",6",,,,mount,
2,8:13:57 AM,,",6",",5",,,,mount,
2,8:30:33 AM,,",7",",3",,,,mount,
2,8:45:30 AM,,",0",",5",,,,mount,
2,9:02:24 AM,,",3",",7",,,,mount,
2,9:02:32 AM,,",7",",3",,,,mount,
2,9:02:41 AM,,",3",",7",,,,mount,
2,9:03:00 AM,,",3",",7",,,,mount,
2,9:03:14 AM,,",0",",5",,,,mount,
2,9:05:42 AM,9:08:12 AM,",5","8,",y,n,n,insemination,
2,9:08:49 AM,,",3",",7",,,,mount,
2,9:12:49 AM,,",0",",6",,,,mount,
2,9:13:37 AM,,",1","8,",n,NA,y,mount,
2,9:13:54 AM,,",1",",5",,,,mount,
2,9:14:57 AM,9:15:26 AM,",1","8,",n,NA,n,insemination,
2,9:15:15 AM,,",0",",5",,,,mount,
2,9:15:35 AM,,",1",",0",,,,mount,
2,9:16:23 AM,,",1",",1",,,,mount,
2,9:16:55 AM,,",1",",0",,,,mount,
2,9:17:05 AM,,",6",",5",,,,mount,
2,9:17:10 AM,,",0",",1",,,,mount,
2,9:17:19 AM,,",0",",1",,,,mount,
2,9:17:27 AM,,",1",",0",,,,mount,
2,9:17:35 AM,,",0",",1",,,,mount,
2,9:18:09 AM,,",6",",5",,,,mount,
2,9:18:31 AM,,",0",",1",,,,mount,
2,9:18:38 AM,,",1",",0",,,,mount,
2,9:19:04 AM,,",1",",0",,,,mount,
2,9:22:18 AM,,",1",",5",,,,mount,
2,9:22:23 AM,,",0",",1",,,,mount,
2,9:22:34 AM,9:23:10 AM,",0","8,",n,NA,n,insemination,
2,9:23:26 AM,,",5",",0",,,,mount,
2,9:23:38 AM,,",5",",6",,,,mount,
2,9:24:16 AM,,",6",",1",,,,mount,
2,9:25:08 AM,,",6",",0",,,,mount,
2,9:30:11 AM,,",5","8,",n,NA,y,mount,
2,9:30:22 AM,,",5",",1",,,,mount,
2,9:30:46 AM,,",5",",1",,,,mount,
2,9:31:04 AM,,",5",",0",,,,mount,
2,9:31:43 AM,,",6",",1",,,,mount,
2,10:07:44 AM,,",0","8,",n,NA,y,mount,
2,10:17:26 AM,,",8","0,",n,NA,y,mount,
2,10:22:22 AM,10:22:38 AM,",8","0,",n,NA,n,insemination,
2,10:30:57 AM,,",0","8,",n,NA,y,mount,
2,10:33:05 AM,,",6",",1",,,,mount,
2,10:38:25 AM,,",0","8,",n,NA,y,mount,
2,10:45:38 AM,,",6",",5",,,,mount,
2,10:45:50 AM,,",6",",5",,,,mount,
2,10:46:02 AM,,",0",",5",,,,mount,
2,10:48:42 AM,,",0","1,",n,NA,y,mount,
2,10:52:59 AM,,",8","6,",n,NA,y,mount,
2,11:18:44 AM,,",1","7,",y,y,NA,mount,
2,11:20:23 AM,,",4",",1",,,,mount,
2,11:21:24 AM,,",7",",3",,,,mount,
2,11:23:52 AM,11:24:16 AM,",5","8,",n,NA,n,insemination,
2,11:24:57 AM,,",7",",3",,,,mount,
2,11:26:32 AM,,",1",",4",,,,mount,
2,11:28:53 AM,,",1",",4",,,,mount,
2,11:29:28 AM,,",7","7,",n,NA,y,mount,
2,11:36:34 AM,,",6",",5",,,,mount,
2,11:36:44 AM,,",6",",0",,,,mount,
2,11:42:16 AM,,",4",",1",,,,mount,
2,11:42:40 AM,,",6","1,",y,y,NA,mount,
2,11:43:39 AM,,",4",",1",,,,mount,
2,11:51:32 AM,,",7","7,",y,y,NA,mount,
2,12:03:15 PM,,",7","7,",y,n,y,mount,
2,12:03:28 PM,,",8","2,",y,y,NA,mount,
2,12:15:19 PM,,",8","9,",n,NA,y,mount,
2,12:21:30 PM,,",6",",5",,,,mount,
2,12:23:11 PM,,",4",",1",,,,mount,
2,12:23:19 PM,,",4",",1",,,,mount,
2,12:24:04 PM,,",4",",1",,,,mount,
2,12:24:30 PM,,",4",",1",,,,mount,
2,12:24:38 PM,,",1",",4",,,,mount,
2,12:45:55 PM,,",4",",1",,,,mount,
2,12:52:15 PM,,",5",",6",,,,mount,
2,12:54:52 PM,,",5",",6",,,,mount,
2,1:08:16 PM,,",6","8,",n,NA,y,mount,
2,1:12:29 PM,,",6",",0",,,,mount,
2,1:12:39 PM,,",0","1,",y,y,NA,mount,
2,1:16:48 PM,,",8","7,",n,NA,y,mount,
2,1:16:57 PM,,",8",",7",,,,mount,
2,1:17:05 PM,1:17:33 PM,",7","4,",n,NA,n,insemination,
2,1:17:34 PM,,",8",",7",,,,mount,
2,1:18:01 PM,,",6",",0",,,,mount,
2,1:18:43 PM,,",3","9,",y,y,NA,mount,
2,1:19:16 PM,1:20:03 PM,",3","9,",n,NA,n,insemination,
2,1:19:25 PM,,",7","7,",n,NA,y,mount,
2,1:19:43 PM,,",8",",7",,,,mount,
2,1:20:30 PM,1:20:46 PM,",6","1,",n,NA,n,insemination,
2,1:21:13 PM,,",7",",8",,,,mount,
2,1:22:06 PM,,",7","2,",y,y,NA,mount,
2,1:22:40 PM,,",3","6,",y,y,NA,mount,
2,1:23:01 PM,,",7","4,",y,y,na,mount,
2,1:23:51 PM,,",3","6,",y,y,NA,mount,
2,1:24:24 PM,,",7","2,",y,y,NA,mount,
2,1:24:35 PM,,",7",",8",,,,mount,
2,1:25:11 PM,,",7","6,",n,NA,y,mount,
2,1:27:18 PM,,",7",",8",,,,mount,
2,1:27:28 PM,,",7","2,",y,y,NA,mount,
2,1:27:52 PM,,",7","4,",y,y,NA,mount,
2,1:28:56 PM,,",8",",7",,,,mount,
2,1:30:14 PM,,",7","7,",y,n,y,mount,
2,1:34:04 PM,,",8","2,",n,NA,y,mount,
2,1:34:52 PM,,",7",",8",,,,mount,
2,1:48:24 PM,,",7",",8",,,,mount,
2,1:52:22 PM,`,",7",",8",,,,mount,
2,1:53:22 PM,,",7","2,",n,NA,y,mount,
2,1:54:54 PM,,",7","2,",n,NA,y,mount,
2,2:03:51 PM,,",6","1,",y,y,na,mount,
2,2:15:05 PM,2:15:33 PM,",3","9,",y,n,n,insemination,
2,2:22:41 PM,2:23:05 PM,",5","9,",y,n,n,insemination,
2,2:24:03 PM,,",1","9,",y,y,NA,mount,
2,2:24:29 PM,,",4","9,",n,NA,y,mount,
2,2:26:39 PM,,",1","9,",y,y,NA,mount,
2,2:32:03 PM,,",7","2,",y,y,NA,mount,
2,2:32:47 PM,,",8",",7",,,,mount,
2,2:33:11 PM,,",7","2,",y,y,NA,mount,
2,2:33:55 PM,,",7","0,",y,y,NA,mount,
2,2:46:09 PM,,",7","4,",y,y,NA,mount,
2,2:48:01 PM,,",7","9,",n,NA,y,mount,
2,2:48:49 PM,,",8","9,",n,NA,y,mount,
2,2:50:11 PM,,",7","9,",y,n,y,mount,
2,3:21:33 PM,,",3","9,",y,y,NA,mount,
2,3:30:22 PM,3:30:41 PM,",1","9,",y,n,n,insemination,
2,3:32:15 PM,,",4","9,",y,y,NA,mount,
2,3:33:04 PM,,",1","9,",n,NA,y,mount,
2,3:34:37 PM,,",1","9,",y,y,NA,mount,
2,3:51:17 PM,,",8","9,",n,NA,y,mount,
2,3:51:29 PM,,",7","9,",y,n,y,mount,
2,3:53:06 PM,,",8","9,",n,NA,y,mount,
2,3:53:49 PM,,",8","9,",y,y,NA,mount,
2,3:54:34 PM,,",3","2,",y,y,NA,mount,
