day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,10:26:49 AM,10:27:16 AM,",7","8,",n,NA,y,mount,was a bit unclear if insemination
1,10:30:59 AM,,",8","2,",y,y,NA,mount,
1,10:34:58 AM,,",2",",9",,,,mount,
1,10:52:59 AM,,",7","8,",n,NA,y,mount,
1,11:03:40 AM,,",2",",9",,,,mount,
1,11:06:26 AM,,",7","3,",y,n,y,mount,
1,11:06:55 AM,,",2",",9",,,,mount,
1,11:08:10 AM,,",7","8,",n,NA,y,mount,not as much of an abort as another female was in the way
1,11:11:44 AM,,",2",",5",,,,mount,
1,11:12:15 AM,,",0","8,",y,n,y,mount,
1,11:12:56 AM,11:13:13 AM,",7","3,",y,n,n,insemination,
1,11:13:35 AM,,",2","2,",y,y,NA,mount,
1,11:16:04 AM,,",2","0,",n,NA,y,mount,
1,11:24:23 AM,11:24:44 AM,",2","0,",Y,N,N,insemination,
1,11:24:58 AM,,",8",",2",,,,mount,
1,11:26:27 AM,,",8",",2",,,,mount,
1,11:26:48 AM,,",8",",2",,,,mount,
1,11:32:39 AM,,",9","0,",Y,Y,NA,mount,
1,11:33:36 AM,,",9","0,",Y,n,y,mount,
1,11:36:37 AM,,",9","0,",n,NA,y,mount,
1,11:43:01 AM,,",2","0,",y,y,NA,mount,
1,11:43:16 AM,,",9","0,",n,NA,y,mount,
1,11:43:40 AM,,",9","0,",y,y,NA,mount,
1,11:49:37 AM,11:50:10 AM,",2","2,",n,NA,n,insemination,
1,11:50:36 AM,,",9","0,",y,y,NA,mount,
1,11:54:32 AM,,",9","0,",y,y,NA,mount,
1,12:02:19 PM,,",8","0,",y,y,NA,mount,
1,12:13:15 PM,,",8","0,",y,y,NA,mount,
1,12:18:02 PM,12:18:29 PM,",7","8,",n,NA,n,insemination,
1,12:21:02 PM,12:21:54 PM,",7","9,",n,NA,n,insemination,
1,12:28:25 PM,,",7","8,",n,NA,y,mount,
1,12:31:02 PM,,",0","8,",n,NA,y,mount,
