day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,8:02:58 AM,,,,,,,trial start,
1,8:04:17 AM,,",9","4,",y,y,NA,mount,
1,8:04:31 AM,,",0","8,",y,y,NA,mount,
1,8:04:47 AM,8:06:26 AM,",9","4,",y,n,n,insemination,
1,8:07:06 AM,8:08:34 AM,",6","3,",n,NA,n,insemination,
1,8:08:39 AM,,",5","2,",y,y,NA,mount,
1,8:13:52 AM,,",0","5,",y,y,NA,mount,
1,8:14:59 AM,,",0","0,",y,y,NA,mount,
1,8:16:30 AM,,",0","0,",y,y,NA,mount,
1,8:17:57 AM,8:18:45 AM,",0","0,",n,NA,n,insemination,checked footage
1,8:20:06 AM,,",0","2,",y,y,NA,mount,
1,8:22:14 AM,,",0","4,",n,NA,y,mount,
1,8:27:52 AM,,",6","8,",y,y,NA,mount,
1,8:29:12 AM,,",0","2,",y,y,NA,mount,
1,8:30:43 AM,8:31:45 AM,",3","9,",n,NA,n,insemination,
1,8:31:17 AM,,",6","0,",y,y,NA,mount,
1,8:32:42 AM,8:34:33 AM,",6","5,",y,n,n,insemination,
1,8:35:05 AM,8:35:51 AM,",1","9,",n,NA,n,insemination,
1,8:42:21 AM,8:43:43 AM,",9","2,",y,n,n,insemination,
1,8:44:07 AM,,",2","9,",n,NA,y,mount,
1,8:46:17 AM,,",9","0,",n,NA,y,mount,
1,8:47:45 AM,8:48:37 AM,",2","9,",n,NA,n,insemination,repositioned into mating position
1,8:49:07 AM,,",6","1,",n,NA,y,mount,
1,8:50:29 AM,,",9","0,",n,NA,y,mount,
1,8:52:13 AM,,",3","0,",n,NA,y,mount,
1,8:54:58 AM,,",3","0,",n,NA,y,mount,
1,9:14:35 AM,,",6","1,",n,NA,y,mount,
1,9:37:51 AM,,",6","1,",y,y,NA,mount,
1,11:04:17 AM,,",6","1,",n,NA,n,insemination,
1,1:00:57 PM,,",3",",9",y,y,NA,mount,
1,1:29:59 PM,,",4","3,",y,y,NA,mount,
1,1:40:26 PM,1:41:00 PM,",3","0,",y,n,n,insemination,
1,2:21:15 PM,2:22:33 PM,",0","4,",n,n,n,insemination,
1,2:27:58 PM,,",3","1,",y,y,NA,mount,
1,2:29:12 PM,,",3","1,",n,NA,y,mount,
1,2:29:18 PM,2:29:45 PM,",3","5,",n,NA,n,insemination,
1,2:35:59 PM,,",3","5,",y,y,NA,mount,
1,2:56:20 PM,2:56:52 PM,",3","9,",y,n,n,insemination,
1,3:10:26 PM,,",4","3,",y,y,NA,mount,
1,3:24:01 PM,,",4","3,",y,y,NA,mount,
1,3:24:56 PM,,",4","3,",y,y,NA,mount,
1,3:25:06 PM,,",4","3,",y,y,NA,mount,
1,3:27:32 PM,3:28:48 PM,",3","3,",y,n,n,insemination,
1,3:32:11 PM,,",4","1,",y,y,NA,mount,
1,3:36:14 PM,3:36:48 PM,",6","3,",n,NA,n,insemination,
2,8:19:05 AM,8:19:49 AM,",2","5,",n,NA,n,insemination,
2,8:28:56 AM,,",4","1,",y,y,n,insemination,
2,9:24:30 AM,,",4","1,",y,n,y,mount,
2,10:32:27 AM,10:32:55 AM,",0","9,",n,n,y,mount,
2,10:36:04 AM,,",2","5,",n,NA,y,mount,Female right abdomen was touching wall may have been refusal position
2,10:47:56 AM,,",4","2,",y,y,NA,mount,
2,10:49:09 AM,,",4","2,",y,y,NA,mount,
2,10:49:44 AM,,",1","3,",y,y,NA,mount,
2,10:52:14 AM,,",4","3,",y,y,NA,mount,
2,10:53:30 AM,,",5","3,",y,y,NA,mount,
2,10:53:50 AM,,",1","3,",y,y,NA,mount,
2,10:54:14 AM,,",4","3,",y,y,NA,mount,
2,10:57:08 AM,10:57:14 AM,",3","3,",y,n,y,mount,
2,10:56:31 AM,,",4","1,",y,n,y,mount,
2,11:06:01 AM,,",4","1,",y,y,NA,mount,"All 1, mounts were while she was in refusal position"
