day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,8:02:15 AM,,NA,NA,,,,trial start,
1,8:02:41 AM,,",1","5,",n,NA,y,mount,
1,8:04:27 AM,,",9","9,",y,y,NA,mount,
1,8:04:35 AM,,",4","1,",y,y,NA,mount,
1,8:04:43 AM,8:05:35 AM,",5","1,",y,NA,n,insemination,
1,8:05:59 AM,,",7","1,",y,y,NA,mount,
1,8:06:25 AM,,",8","0,",y,y,NA,mount,
1,8:06:35 AM,,",5","1,",y,y,NA,mount,
1,8:06:48 AM,,",6","9,",y,y,NA,mount,
1,8:08:00 AM,,",8","2,",y,y,NA,mount,
1,8:08:09 AM,,",8","2,",y,y,NA,mount,
1,8:08:58 AM,,",5","1,",y,n,y,mount,
1,8:11:01 AM,8:11:44 AM,",4","7,",,,,insemination,check footage for whether female avoided
1,8:13:00 AM,,",9","9,",y,y,NA,mount,
1,8:14:05 AM,8:17:23 AM,",9","7,",n,NA,n,insemination,
1,8:14:33 AM,,",5","5,",y,y,NA,mount,check footage
1,8:15:02 AM,,",8","9,",n,NA,y,mount,
1,8:15:59 AM,,",4","2,",y,y,NA,mount,
1,8:17:40 AM,,",8","9,",y,y,NA,mount,
1,8:17:56 AM,8:20:46 AM,",0","7,",y,n,n,insemination,check footage
1,8:19:43 AM,,",4","2,",y,y,NA,mount,
1,8:21:07 AM,,",5","5,",n,NA,,mount,check footage; unclear if this was an insemination
1,8:21:18 AM,,",9","2,",y,y,NA,mount,
1,8:22:05 AM,,",0","7,",n,NA,y,mount,check footage
1,8:23:25 AM,,",5","5,",y,y,NA,mount,
1,8:24:17 AM,,",8","2,",y,y,NA,mount,
1,8:27:36 AM,,",4","5,",y,y,NA,mount,
1,8:28:52 AM,,",8","2,",y,y,NA,mount,
1,8:30:13 AM,,",8","7,",y,y,NA,mount,
1,8:32:02 AM,,",8","2,",n,NA,y,mount,
1,8:35:02 AM,,",8","2,",y,y,NA,mount,
1,8:36:00 AM,,",8","2,",y,y,NA,mount,
1,8:38:00 AM,,",6","2,",y,y,NA,mount,
1,8:47:14 AM,,",8","0,",n,NA,y,mount,
1,8:47:26 AM,,",5","1,",y,y,NA,mount,
1,8:49:59 AM,8:50:23 AM,",9","1,",n,NA,n,insemination,
1,8:51:03 AM,,",8","1,",y,y,NA,mount,
