partner,patch_partner,treatment
"4,",I,social
"3,",J,social
"5,",K,social
"8,",L,social
"0,",M,isolated
"7,",N,isolated
"6,",O,isolated
"9,",P,isolated
",0",A,NA
",1",B,NA
",2",C,NA
",3",D,NA
",4",E,NA
",5",F,NA
",6",G,NA
",7",H,NA
