partner,patch_partner,treatment
"0,",I,social
"9,",J,social
"1,",K,social
"3,",L,social
"8,",M,isolated
"4,",N,isolated
"2,",O,isolated
"5,",P,isolated
",0",A,NA
",1",B,NA
",6",C,NA
",4",D,NA
",5",E,NA
",2",F,NA
",3",G,NA
",9",H,NA
