focal,patch_focal,treatment
",0",A,social
:7,B,social
",1",C,social
",4",D,social
",5",E,social
",9",F,social
",3",G,isolated
",6",H,isolated
:0,I,isolated
",8",J,isolated
:1,K,isolated
",7",L,isolated
