day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes,,,,
1,9:18:43 AM,,mount,",7",:1,,,,,,,,
1,9:18:45 AM,,mount,",7",:1,,,,,,,,
1,9:21:32 AM,,mount,:0,"7,",y,y,NA,,,,,
1,9:21:49 AM,,mount,:0,"2,",n,NA,y,,,,,
1,9:21:52 AM,,mount,:1,1:,n,NA,y,,,,,
1,9:29:54 AM,,mount,",4","7,",y,y,NA,,,,,
1,9:33:48 AM,,mount,:0,"7,",y,y,NA,,,,,
1,9:35:20 AM,,mount,:0,0:,y,y,NA,,,,,
1,9:38:33 AM,,mount,:0,0:,n,NA,y,,,,,
1,9:40:20 AM,,mount,:0,0:,n,NA,y,,,,,
1,9:48:09 AM,9:48:53 AM,insemination,",0",1:,y,n,n,,,,,
1,9:48:38 AM,,mount,",8",",5",,,,,,,,
1,9:49:05 AM,,mount,",3",",8",,,,,,,,
1,9:53:32 AM,,insemination,",4","1,",n,NA,n,,,,,
1,9:54:25 AM,,mount,:0,"7,",y,y,NA,,,,,
1,10:05:37 AM,,mount,:0,0:,n,NA,y,,,,,
1,10:09:55 AM,,mount,",4",0;,y,y,NA,,,,,
1,10:11:58 AM,,mount,",4","1,",y,y,n,refusal stance,,,,
1,10:16:34 AM,,mount,",7",0.,n,NA,y,,,,,
1,10:17:17 AM,,mount,",1",",6",,,,,,,,
1,10:19:16 AM,,mount,;0,7.,n,NA,y,,,,,
1,10:19:56 AM,,mount,;0,0;,n,NA,y,,,,,
1,10:29:11 AM,,mount,;0,"7,",n,NA,y,,,,,
1,10:36:05 AM,,mount,",4","7,",y,y,NA,,,,,
1,10:39:39 AM,,mount,",4","7,",y,y,NA,,,,,
1,10:53:12 AM,,mount,;0,",0",,,,,,,,
1,10:54:00 AM,,mount,",0",;0,,,,,,,,
1,10:54:25 AM,,mount,;0,",0",,,,,,,,
1,11:11:09 AM,,mount,",3","8,",n,NA,y,,,,,
1,11:11:35 AM,,mount,",5",",3",,,,,,,,
1,11:13:28 AM,,mount,",1","6,",n,NA,y,,,,,
1,11:44:15 AM,,mount,:1,",2",,,,,,,,
1,11:48:59 AM,,mount,",4",0:,y,y,n,female pressed right against wall,,,,
1,11:51:16 AM,,mount,",1","6,",y,n,y,,,,,
1,12:02:13 PM,,mount,",5",",3",,,,,,,,
1,12:05:10 PM,12:07:19 PM,insemination,",0","4,",y,n,n,,,,,
1,12:09:49 PM,,mount,",8",",7",,,,,,,,
1,12:11:27 PM,,mount,",8",",7",,,,,,,,
1,12:16:01 PM,,mount,",5",",3",,,,,,,,
1,12:25:27 PM,,mount,",3",",7",,,,,,,,
1,12:25:58 PM,,mount,",8","0,",y,y,NA,,,,,
1,12:27:42 PM,,mount,",2",:1,,,,,,,,
1,12:29:34 PM,,mount,",8","0,",y,n,y,,,,,
1,12:36:12 PM,,mount,",4",0:,y,y,NA,,,,,
1,12:36:47 PM,12:38:40 PM,insemination,",4",0:,y,n,n,sideways kind of lots of avoidance from female,,,,
1,12:38:49 PM,,mount,",9","3,",n,NA,y,,,,,
1,12:39:38 PM,,mount,",9","3,",y,y,NA,,,,,
1,12:43:10 PM,,mount,",3",",7",,,,,,,,
1,12:45:35 PM,,mount,:0,"3,",y,y,NA,,,,,
1,12:47:57 PM,,mount,",0","3,",y,y,NA,,,,,
1,12:54:00 PM,,mount,",0","3,",y,y,NA,,,,,
1,12:54:07 PM,,mount,:0,"4,",y,y,NA,,,,,
1,1:09:38 PM,,mount,",2","4,",y,y,NA,,,,,
1,1:09:57 PM,,mount,",2","4,",y,y,NA,,,,,
1,1:10:27 PM,,mount,",4",0:,n,NA,y,female pressed right against wall,,,,
1,1:13:23 PM,,mount,",1","8,",y,n,y,female pressed right against wall,,,,
1,1:14:55 PM,,mount,:1,0:,y,y,NA,,,,,
1,1:18:13 PM,1:18:39 PM,insemination,",6","8,",n,NA,n,,,,,
1,1:23:59 PM,,mount,:1,0:,y,y,NA,,,,,
1,1:24:25 PM,,mount,:1,"7,",y,y,NA,,,,,
1,1:25:43 PM,,mount,",4","1,",y,n,y,,,,,
1,1:26:42 PM,,mount,",5","6,",y,y,NA,,,,,
1,1:32:41 PM,,mount,",4","3,",n,NA,y,,,,,
1,1:39:11 PM,,insemination,",2",0:,y,n,n,"the female kind of successfully avoided, looks like she got away mid insemination",,,,
1,1:40:03 PM,1:40:55 PM,insemination,",4","7,",n,NA,n,,,,,
1,1:49:28 PM,,mount,",5",",3",,,,,,,,
1,1:49:32 PM,,mount,",8",",5",,,,,,,,
1,1:49:33 PM,,mount,",8",",5",,,,,,,,
1,1:49:53 PM,,mount,",5","5,",y,n,y,,,,,
1,1:51:38 PM,,mount,",8","3,",n,NA,y,,,,,
1,1:52:49 PM,,mount,",3","3,",y,y,NA,,,,,
1,1:53:48 PM,,mount,",3","3,",y,y,NA,,,,,
1,1:54:58 PM,,mount,",8","3,",n,NA,y,,,,,
1,2:03:21 PM,,mount,",3","5,",y,n,y,,,,,
1,2:09:35 PM,,mount,",6",",1",,,,,,,,
1,2:12:39 PM,,mount,",1",",6",,,,,,,,
1,2:13:46 PM,,mount,",5","6,",y,n,y,,,,,
1,2:15:09 PM,,mount,",2","0,",y,y,NA,,,,,
1,2:21:26 PM,,mount,:0,0:,y,y,NA,,,,,
1,2:22:18 PM,,mount,",5","5,",y,y,NA,,,,,
1,2:22:32 PM,,mount,",8","5,",y,y,NA,,,,,
