,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes
1,3:29:54 PM,,mount,",3","8,",n,NA,y,
1,3:31:01 PM,,mount,",5",",7",,,,
1,3:36:23 PM,,mount,:1,"0,",y,n,y,
1,3:37:07 PM,,mount,:1,",2",,,,
1,3:39:23 PM,,mount,",2",:1,,,,
1,3:40:31 PM,,mount,",2",:1,,,,
1,3:44:50 PM,,mount,",0",",5",n,NA,y,
2,9:18:38 AM,,mount,",9",",2",,,,
2,9:18:49 AM,,mount,",2",",9",,,,
2,9:55:00 AM,,insemination,:7,"6,",n,NA,n,
2,10:46:08 AM,,mount,",5",:7,,,,
2,10:46:53 AM,,mount,",5",:7,,,,
2,10:48:37 AM,,mount,",2",:1,,,,
2,10:53:49 AM,,mount,",5",",3",,,,
2,11:32:31 AM,11:32:57 AM,insemination,",4","4,",n,NA,n,
2,11:34:29 AM,,mount,",6",",4",,,,
2,12:06:19 PM,,mount,",1","5,",y,y,NA,
2,12:11:33 PM,,mount,",1","5,",n,NA,y,
2,12:16:46 PM,,mount,",4","4,",y,y,NA,
2,12:21:26 PM,,mount,:1,"0,",y,y,NA,
2,12:22:14 PM,,mount,",2",:1,,,,
2,12:22:14 PM,,mount,:1,",9",,,,
2,12:33:59 PM,12:34:41 PM,insemination,:1,"0,",n,NA,n,
2,12:34:01 PM,,mount,",2",:1,,,,
2,12:34:45 PM,,mount,",9",:1,,,,
2,12:52:31 PM,,mount,",2",",9",,,,
2,1:15:20 PM,,mount,",5",",3",,,,
2,1:15:53 PM,,mount,",3","0,",y,y,NA,
2,1:15:59 PM,1:16:27 PM,insemination,",3","8,",n,NA,n,
2,1:24:02 PM,,mount,",8","0,",y,y,NA,
2,1:24:29 PM,,mount,",8","0,",y,n,y,
2,1:27:18 PM,,mount,",8","0,",y,y,NA,
2,1:41:08 PM,,mount,",3","2,",y,y,NA,
2,1:41:33 PM,,mount,",3","8,",n,NA,y,
2,2:20:26 PM,,insemination,",0","5,",n,NA,n,
2,2:30:16 PM,,mount,",2",:1,,,,
2,2:30:29 PM,,mount,",9",",2",,,,
2,2:32:30 PM,,mount,",1","5,",y,y,NA,
2,2:35:18 PM,,mount,",0","5,",y,y,NA,
2,2:38:42 PM,,mount,",2",",9",,,,
2,2:38:57 PM,,mount,",4",",6",,,,
2,3:09:25 PM,,mount,",8","8,",n,NA,y,
2,3:12:55 PM,,mount,:7,"8,",y,y,NA,
2,3:20:35 PM,,mount,",3","8,",y,y,NA,
2,3:35:28 PM,,mount,",3",:7,,,,
2,3:39:38 PM,,mount,:7,",3",,,,
2,3:39:54 PM,,mount,",3","8,",y,y,NA,
