focal,patch_focal,treatment
",7",A,social
",6",B,social
:1,C,social
",9",D,social
",2",E,social
",0",F,social
:7,G,isolated
:9,H,isolated
",4",I,isolated
",3",J,isolated
",5",K,isolated
",8",L,isolated
