day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes
1,7:59:49 AM,,trial start,,,,,,had to adjust big clump
1,8:00:31 AM,8:09:31 AM,insemination,",4","7,",n,NA,n,
1,8:01:08 AM,,mount,",8",",0",,,,
1,8:01:08 AM,,insemination,:7,"0,",n,NA,n,
1,8:01:09 AM,8:02:26 AM,insemination,",8","9,",n,NA,n,
1,8:01:50 AM,,mount,",5",",8",,,,
1,8:01:50 AM,,mount,",2",",5",,,,"while ,8 was inseminating 9,"
1,8:02:29 AM,,mount,:9,",8",,,,"while ,5 was oon ,8"
1,8:02:29 AM,,mount,",5",",2",,,,
1,8:02:28 AM,,mount,",3",",7",,,,
1,8:03:46 AM,,mount,:9,",8",,,,
1,8:05:37 AM,8:06:56 AM,insemination,:9,"0,",n,NA,n,
1,8:06:00 AM,8:07:33 AM,insemination,",6","1,",n,NA,n,
1,8:06:22 AM,,mount,",3",",9",,,,
1,8:06:59 AM,8:08:46 AM,insemination,",8",1:00,n,NA,n,
1,8:09:15 AM,,mount,",5",",0",,,,
1,8:09:23 AM,,mount,:9,",5",,,,
1,8:10:48 AM,,mount,",5",:1,,,,
1,8:10:57 AM,,mount,",5",",8",,,,
1,8:11:15 AM,,mount,",5",:1,,,,
1,8:11:23 AM,8:13:11 AM,insemination,",5","4,",n,NA,n,
1,8:11:49 AM,,mount,:1,",8",,,,
1,8:11:59 AM,,mount,:9,",9",,,,
1,8:12:18 AM,,mount,:9,"0,",n,NA,y,
1,8:13:22 AM,,mount,:7,"0,",n,NA,y,
1,8:14:02 AM,,mount,",3",",9",,,,
1,8:14:28 AM,,mount,",9",",3",,,,
1,8:15:03 AM,,mount,",9",",0",,,,
1,8:15:04 AM,,mount,",4",",9",,,,
1,8:15:46 AM,8:18:05 AM,insemination,:7,"4,",n,NA,n,
1,8:16:08 AM,,mount,",8",:7,,,,"whie :7 was on 4,"
1,8:16:09 AM,,mount,",5",",8",,,,while on :7
