day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes
2,12:55:48 PM,12:56:44 PM,insemination,",0",1:00,y,n,n,
2,1:38:39 PM,1:39:14 PM,insemination,",0",1:00,n,NA,n,
1,1:29:52 PM,1:30:42 PM,insemination,",4",1:00,y,n,n,
1,1:51:47 PM,,mount,",6",1:00,n,,y,
1,8:02:24 AM,8:04:36 AM,insemination,",7",1:00,n,NA,n,
2,9:45:46 AM,,mount,",1",4:00,y,y,NA,
1,2:53:11 PM,,mount,",3",4:00,n,NA,y,
1,8:19:44 AM,,mount,",5",4:00,n,NA,y,
1,9:12:37 AM,9:13:11 AM,insemination,",8",4:00,n,NA,n,
1,12:37:52 PM,,mount,",8",4:00,,,,
1,8:07:40 AM,,insemination,:7,4:00,n,NA,n,
1,8:50:15 AM,8:51:09 AM,insemination,:7,4:00,n,NA,n,
2,2:04:26 PM,2:05:45 PM,insemination,",1",7:00,n,NA,n,
1,8:35:16 AM,,mount,",3",7:00,n,NA,y,
1,8:36:41 AM,8:37:41 AM,insemination,",3",7:00,n,NA,n,
1,11:25:40 AM,,mount,",3",7:00,n,NA,y,
1,2:50:00 PM,,mount,",6",7:00,n,NA,y,
2,8:50:52 AM,,mount,",6",7:00,n,NA,y,
2,9:07:29 AM,,mount,",6",7:00,n,NA,y,
2,10:19:32 AM,,mount,",6",7:00,n,NA,y,
2,11:08:37 AM,,mount,",6",7:00,n,NA,y,
2,11:21:10 AM,,mount,",6",7:00,y,y,n,
2,12:34:42 PM,,mount,",8",7:00,y,n,y,
2,12:34:56 PM,,mount,",8",7:00,y,n,y,
2,2:21:19 PM,2:22:13 PM,insemination,:1,7:00,y,n,n,
1,2:34:25 PM,,mount,",6","6,",n,NA,y,
1,2:31:50 PM,,mount,:1,"6,",n,NA,y,
1,10:12:46 AM,,mount,",4",",0",,,,
1,10:34:00 AM,,mount,",4",",0",,,,
1,11:38:05 AM,,mount,",4",",0",,,,
1,11:38:27 AM,,mount,",4",",0",,,,
1,12:43:31 PM,,mount,",4",",0",,,,
1,8:37:24 AM,,mount,",7",",0",,,,
1,8:38:07 AM,,mount,",7",",0",,,,
1,8:39:59 AM,,mount,",7",",0",,,,
