day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes
1,8:44:55 AM,,mount,",7",",0",,,,
1,8:45:11 AM,,mount,",7",",0",,,,
1,8:46:11 AM,,mount,",7",",0",,,,
1,8:46:52 AM,,mount,",7",",0",,,,
1,8:49:04 AM,,mount,",7",",0",,,,
1,10:10:17 AM,,mount,",7",",0",,,,
1,8:51:39 AM,,mount,",8",",0",,,,
1,8:05:27 AM,,mount,",9",",0",,,,
1,8:22:14 AM,,mount,",9",",0",,,,
1,9:39:03 AM,,mount,:0,",0",,,,
1,9:39:51 AM,,mount,:0,",0",,,,
1,10:07:06 AM,,mount,:0,",0",,,,
1,10:09:07 AM,,mount,:0,",0",,,,
1,8:05:51 AM,,mount,:1,",0",,,,
1,8:41:50 AM,,mount,:1,",0",,,,
1,8:44:04 AM,,mount,:1,",0",,,,
1,8:44:27 AM,,mount,:1,",0",,,,
1,8:46:42 AM,,mount,:1,",0",,,,
1,8:49:43 AM,,mount,:1,",0",,,,
1,,,mount,",3",",1",,,,Jack accidentally deleted the time and saved
2,9:47:36 AM,,mount,",3",",1",,,,
2,2:10:53 PM,,mount,",1",",3",,,,
2,2:38:43 PM,,mount,",1",",3",,,,
1,9:23:29 AM,,mount,",7",",4",,,,
1,8:05:07 AM,,mount,",0",",5",,,,
2,10:31:06 AM,,mount,",1",",5",,,,
1,11:36:49 AM,,mount,",8",",5",,,,
1,8:06:50 AM,,mount,:0,",5",,,,
1,12:21:31 PM,,mount,:0,",5",,,,
2,10:14:40 AM,,mount,:0,",5",,,,
2,12:31:00 PM,,mount,:0,",5",,,,
1,10:42:09 AM,,mount,:7,",5",,,,
1,2:49:28 PM,,mount,:7,",5",,,,
2,10:17:58 AM,,mount,:7,",5",,,,
2,2:14:50 PM,,mount,:7,",5",,,,
1,12:19:50 PM,,mount,:1,",6",,,,
1,10:17:04 AM,,mount,",6",",7",,,,
1,8:45:17 AM,,mount,",8",",7",,,,
1,8:48:19 AM,,mount,",8",",7",,,,
1,11:51:51 AM,,mount,",9",",7",,,,
2,12:31:54 PM,,mount,",9",",7",,,,
1,9:17:58 AM,,mount,:0,",7",,,,
1,9:18:40 AM,,mount,:0,",7",,,,
1,9:19:05 AM,,mount,:0,",7",,,,
1,10:46:46 AM,,mount,:0,",7",,,,
1,8:02:38 AM,,mount,:1,",7",,,,"while ,7 on 1:"
1,8:47:15 AM,,mount,:1,",7",,,,
1,8:46:05 AM,,mount,",0",",8",,,,
1,10:37:49 AM,,mount,",5",",8",,,,
1,11:19:48 AM,,mount,",5",",8",,,,
1,8:30:17 AM,,mount,",7",",8",,,,
1,8:30:57 AM,,mount,",7",",8",,,,
1,9:10:17 AM,,mount,",7",",8",,,,
2,12:45:44 PM,,mount,",7",",8",,,,
1,8:09:30 AM,,mount,",9",",8",,,,"while ,8 on 7,"
1,8:18:49 AM,,mount,",9",",8",,,,
2,12:36:41 PM,,mount,",9",",8",,,,
2,12:37:04 PM,,mount,",9",",8",,,,
1,11:34:36 AM,,mount,:0,",8",,,,
1,12:39:18 PM,,mount,:0,",8",,,,
1,8:04:52 AM,,mount,",4",",9",,,,
1,8:05:00 AM,,mount,",4",",9",,,,
2,12:40:31 PM,,mount,",7",",9",,,,
1,8:18:02 AM,,mount,",8",",9",,,,
1,8:19:02 AM,,mount,",8",",9",,,,
1,8:24:40 AM,,mount,",8",",9",,,,
1,2:31:20 PM,,mount,",8",",9",,,,
1,3:41:51 PM,,mount,",8",",9",,,,
1,3:42:10 PM,,mount,",8",",9",,,,
1,3:42:56 PM,,mount,",8",",9",,,,
2,2:30:31 PM,,mount,",8",",9",,,,
1,8:05:33 AM,,mount,:1,",9",,,,
1,8:06:26 AM,,mount,:1,",9",,,,
1,8:23:02 AM,,mount,:1,",9",,,,
1,9:50:47 AM,,mount,",0",:0,,,,
1,11:34:54 AM,,mount,",5",:0,,,,
1,11:41:15 AM,,mount,",5",:0,,,,
2,12:29:33 PM,,mount,",5",:0,,,,
1,1:53:30 PM,,mount,",8",:0,,,,
1,9:30:36 AM,,mount,:1,:0,,,,
1,3:17:05 PM,,mount,:7,:0,,,,
2,9:13:29 AM,,mount,:7,:0,,,,
2,10:17:43 AM,,mount,:7,:0,,,,
1,8:03:27 AM,,mount,",0",:1,,,,
1,8:06:31 AM,,mount,",0",:1,,,,
1,9:18:45 AM,,mount,",0",:1,,,,
1,12:51:30 PM,,mount,",5",:1,,,,
1,9:26:37 AM,,mount,",6",:1,,,,
1,12:21:03 PM,,mount,",6",:1,,,,
2,11:13:50 AM,,mount,",6",:1,,,,
2,12:00:00 AM,,mount,",6",:1,,,,
1,8:00:45 AM,,mount,",7",:1,,,,
1,8:47:01 AM,,mount,",7",:1,,,,
1,8:48:11 AM,,mount,",7",:1,,,,
1,9:18:56 AM,,mount,",7",:1,,,,
1,8:05:56 AM,,mount,",9",:1,,,,
1,8:22:27 AM,,mount,",9",:1,,,,
1,9:14:19 AM,,mount,:0,:1,,,,"while :1 was on 8,"
1,9:18:14 AM,,mount,:0,:1,,,,
1,9:18:35 AM,,mount,:0,:1,,,,
1,9:19:49 AM,,mount,:0,:1,,,,
1,9:24:35 AM,,mount,:0,:1,,,,
1,9:28:03 AM,,mount,:0,:1,,,,
1,8:36:33 AM,,mount,",5",:7,,,,
1,8:51:12 AM,,mount,",5",:7,,,,
2,10:13:23 AM,,mount,",5",:7,,,,
2,1:25:21 PM,,mount,",6",:7,Y,Y,NA,
1,12:31:18 PM,12:32:42 PM,insemination,",1","0,",y,n,,
1,3:18:51 PM,,mount,",3","0,",n,NA,y,
1,3:19:20 PM,,mount,",3","0,",n,NA,y,
1,1:02:58 PM,,mount,",7","0,",y,y,NA,
1,9:34:57 AM,,mount,",0","2,",y,y,NA,
1,9:38:01 AM,,mount,",0","2,",y,n,n,
1,8:03:54 AM,,insemination,",3","2,",n,NA,n,
1,9:20:27 AM,,mount,",7","2,",y,y,NA,
1,10:24:34 AM,10:26:10 AM,insemination,",7","2,",n,NA,n,
1,10:31:20 AM,,mount,",7","2,",y,y,NA,
1,10:35:42 AM,,mount,",7","2,",y,y,NA,
1,9:09:20 AM,,mount,:0,"2,",n,NA,y,
1,9:10:03 AM,,mount,:0,"2,",y,n,y,
1,9:19:34 AM,,mount,:0,"2,",y,y,NA,
1,9:24:19 AM,,mount,:0,"2,",y,y,NA,
1,9:38:37 AM,,mount,:0,"2,",y,n,y,
1,9:53:44 AM,,mount,:0,"2,",y,y,NA,
1,11:32:29 AM,,mount,:0,"2,",y,n,y,
1,12:50:46 PM,,mount,:0,"2,",n,NA,y,
1,8:09:13 AM,,mount,",1","3,",y,y,NA,
2,9:54:01 AM,,mount,",1","3,",,,,
1,8:01:18 AM,,insemination,",8","3,",n,NA,n,
1,9:45:03 AM,9:46:24 AM,insemination,:0,"3,",n,NA,n,
2,9:03:17 AM,,mount,:7,"3,",n,NA,y,
2,9:20:34 AM,,mount,:7,"3,",n,NA,y,
1,8:10:30 AM,8:11:02 AM,insemination,",0","4,",y,n,n,
1,8:13:31 AM,,mount,",0","4,",y,y,NA,
1,8:16:16 AM,,mount,",0","4,",y,n,y,
1,1:18:36 PM,,mount,",0","4,",n,NA,y,
2,11:18:17 AM,,mount,",4","4,",y,y,NA,refusal stance
2,11:22:28 AM,11:23:43 AM,insemination,",4","4,",n,NA,n,"Weird sideways mating, could be considered same event as above, weird position for a while but I think it was a proper insemination by the end"
1,11:54:41 AM,11:55:14 AM,insemination,",5","4,",y,n,n,
1,12:39:39 PM,12:40:06 PM,insemination,",6","4,",y,n,n,
1,9:07:11 AM,,mount,",7","4,",n,NA,y,
1,8:01:02 AM,,insemination,",9","4,",n,NA,n,
1,8:11:41 AM,,mount,",9","4,",y,n,y,
1,8:16:44 AM,,mount,",9","4,",n,NA,y,
1,9:04:45 AM,9:06:03 AM,insemination,:0,"4,",n,NA,n,
1,11:46:04 AM,,mount,:1,"4,",y,y,NA,
1,8:08:13 AM,,insemination,",3","5,",n,NA,n,
1,10:16:22 AM,,mount,",4","5,",n,NA,y,
1,10:16:31 AM,10:17:23 AM,insemination,",7","5,",n,NA,n,
1,8:13:09 AM,,mount,",9","5,",y,y,NA,
2,2:12:23 PM,,mount,",9","5,",n,NA,y,
1,1:21:04 PM,1:21:45 PM,insemination,",1","6,",n,NA,n,
1,8:35:05 AM,,mount,",3","6,",n,NA,y,
1,10:19:00 AM,10:19:59 AM,insemination,",3","6,",n,NA,n,
1,11:44:48 AM,,mount,",3","6,",n,NA,y,
1,11:47:39 AM,,mount,",3","6,",n,NA,y,
1,12:03:01 PM,,mount,",3","6,",y,n,y,
1,1:06:18 PM,,mount,",3","6,",n,NA,y,
1,3:15:21 PM,,mount,",5","6,",n,NA,y,
2,2:18:39 PM,,mount,",5","6,",y,n,y,
2,1:34:18 PM,1:34:44 PM,insemination,",7","6,",y,n,n,
2,11:55:17 AM,,mount,",8","6,",n,NA,y,
2,12:26:28 PM,12:27:13 PM,insemination,",9","6,",n,NA,n,
2,1:17:38 PM,,mount,",9","6,",Y,Y,NA,
1,3:16:41 PM,3:17:16 PM,insemination,:0,"6,",n,NA,n,
2,2:13:15 PM,,mount,:0,"6,",y,n,y,
2,2:16:21 PM,,mount,:7,"6,",y,n,y,
1,8:35:40 AM,8:36:04 AM,insemination,",1","7,",y,n,n,
2,2:41:43 PM,2:42:28 PM,insemination,",1","7,",y,n,n,
1,8:35:40 AM,,mount,",3","7,",n,NA,y,
2,9:52:50 AM,,mount,",3","7,",n,NA,y,
1,1:39:48 PM,1:41:23 PM,insemination,",6","7,",y,n,n,
1,1:44:48 PM,,mount,",6","7,",n,NA,y,
1,1:10:49 PM,1:11:57 PM,insemination,",7","7,",y,n,,
1,8:06:17 AM,,insemination,",8","7,",n,NA,n,
1,1:17:19 PM,,mount,",9","7,",y,y,NA,
1,8:23:23 AM,,mount,:1,"7,",y,y,NA,
1,8:03:35 AM,,mount,",0","8,",y,y,NA,
1,8:17:14 AM,,mount,",0","8,",n,NA,y,
1,8:20:45 AM,,mount,",0","8,",y,n,y,
1,8:26:48 AM,,mount,",0","8,",n,NA,y,
2,2:46:08 PM,2:46:35 PM,insemination,",0","8,",n,NA,n,
1,11:40:30 AM,11:42:40 AM,insemination,",6","8,",y,n,n,
1,11:46:31 AM,11:47:01 AM,insemination,",6","8,",y,n,n,
1,1:54:30 PM,,mount,",6","8,",y,n,y,
2,11:14:08 AM,11:15:08 AM,insemination,",6","8,",n,NA,n,
2,11:24:52 AM,,mount,",6","8,",n,NA,y,
2,1:25:40 PM,,mount,",6","8,",Y,Y,NA,pressed right side to wall
2,1:46:43 PM,1:47:43 PM,insemination,",6","8,",y,n,n,
1,8:52:46 AM,,mount,",7","8,",y,n,y,
1,8:19:12 AM,,mount,",8","8,",n,NA,y,
1,8:28:18 AM,,mount,",8","8,",n,NA,y,
1,1:11:45 PM,,mount,",9","8,",y,y,NA,
1,1:25:42 PM,,mount,",9","8,",y,y,NA,
1,1:33:23 PM,,mount,",9","8,",y,y,NA,pressed right side to wall
1,9:13:43 AM,,mount,:0,"8,",y,n,y,
1,9:14:52 AM,,mount,:0,"8,",n,NA,y,
1,8:10:13 AM,8:12:14 AM,insemination,:1,"8,",n,NA,n,
1,8:52:39 AM,,mount,:1,"8,",y,y,NA,
1,9:13:52 AM,9:14:33 AM,insemination,:1,"8,",n,NA,n,
1,9:32:24 AM,,mount,:1,"8,",y,y,NA,
1,8:03:45 AM,8:04:50 AM,insemination,",1","9,",n,NA,n,
1,11:21:56 AM,,mount,",1","9,",n,NA,y,
2,10:30:28 AM,,mount,",1","9,",n,NA,y,
1,8:40:08 AM,,mount,",3","9,",y,y,NA,
1,7:59:57 AM,,trial start,,,,,,had to break up corner group at 8:02
