focal,patch_focal,treatment
",7",A,social
",5",B,social
",6",C,social
:1,D,social
",2",E,social
",8",F,social
",0",G,isolated
",9",H,isolated
",4",I,isolated
",1",J,isolated
:0,K,isolated
",3",L,isolated
