focal,patch_focal,treatment
",9",A,social
:7,B,social
;7,B,social
",3",C,social
",6",D,social
",8",E,social
",4",F,social
",7",G,isolated
",0",H,isolated
:1,I,isolated
",1",J,isolated
",5",K,isolated
",2",L,isolated
