partner,patch_partner,
",0",A,
:7,B,
",1",C,
",4",D,
",5",E,
",9",F,
",3",G,
",6",H,
:0,I,
",8",J,
:1,K,
",7",L,
"0,",M,
7:00,N,
"2,",O,
"3,",P,
"4,",Q,
"5,",R,
"6,",S,
"7,",T,
"8,",U,
"9,",V,
4:00,W,
1:00,X,
,,
,,
,,
