day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes
1,10:23:18 AM,,mount,",5",",1",,,,
1,10:23:56 AM,,mount,",5",",1",,,,
1,10:47:50 AM,,mount,",3","5,",n,NA,y,
1,11:52:09 AM,,mount,",5","7,",N,NA,Y,
1,11:52:27 AM,,mount,",1",",5",,,,
1,12:05:59 PM,,mount,",1","7,",N,NA,Y,
1,12:06:30 PM,,mount,",7",",1",,,,
1,12:08:06 PM,,mount,",7",",1",,,,
1,12:09:31 PM,,mount,",7","7,",N,NA,Y,
1,12:29:07 PM,,mount,",5","7,",n,NA,y,
1,12:31:38 PM,,mount,",5","7,",n,NA,y,
1,12:36:28 PM,,mount,",2",",9",,,,
1,12:37:39 PM,12:38:04 PM,insemination,:1,"0,",n,NA,n,
1,12:40:23 PM,,insemination,",2","2,",n,NA,n,
1,12:40:59 PM,,mount,",5",",7",,,,
1,12:41:22 PM,12:41:42 PM,insemination,",9","2,",n,NA,n,
1,12:42:36 PM,,mount,",1",",5",,,,
1,12:43:34 PM,,mount,",1",",7",,,,
1,12:43:42 PM,,mount,",7","7,",n,NA,y,
1,12:45:59 PM,,mount,",5","7,",y,n,y,
1,12:51:03 PM,,mount,",2",",6",,,,
1,12:54:11 PM,,mount,",5","7,",n,NA,y,
1,1:01:30 PM,,mount,",8",3:00,y,n,y,
1,1:06:59 PM,,mount,",8","5,",n,NA,y,
1,1:12:53 PM,,mount,",7",",5",,,,
1,1:18:59 PM,,mount,",5",",7",,,,
1,1:19:17 PM,,mount,",5",",7",,,,
1,1:20:31 PM,,mount,",8",3:00,n,NA,y,
1,1:25:30 PM,1:25:59 PM,insemination,",6","5,",n,NA,,
1,1:32:34 PM,,mount,",2",",6",,,,
1,1:33:52 PM,,mount,",5",",7",,,,
1,1:44:16 PM,,mount,",5",",7",,,,
1,1:47:52 PM,1:48:37 PM,insemination,",7",1:00,n,NA,,
1,2:37:59 PM,,mount,",2","5,",y,y,NA,
1,2:38:22 PM,,mount,",9",",2",,,,
2,7:11:33 AM,,mount,",6",",9",,,,
2,7:31:41 AM,,mount,",9",",2",,,,
2,7:37:20 AM,,mount,",6",",2",,,,
2,7:37:22 AM,,mount,",6",",9",,,,
2,8:24:00 AM,8:25:41 AM,insemination,:0,"9,",n,NA,n,
2,8:40:36 AM,,mount,",4",",3",,,,
2,8:40:53 AM,,mount,:0,",4",,,,
2,8:53:24 AM,8:54:36 AM,insemination,",7","1,",Y,N,N,80% sure of IDs this was in big cluster
2,9:07:10 AM,,mount,",0",",7",,,,
2,9:10:29 AM,,mount,",3",",4",,,,
2,9:11:13 AM,,mount,",4",",3",,,,
2,9:11:36 AM,9:12:30 AM,insemination,",3","9,",y,n,n,
2,9:12:11 AM,,mount,:0,",4",,,,
2,9:12:47 AM,,mount,",4",",3",,,,"interrupted above insemination of ,3 on 9,"
2,9:13:26 AM,9:14:31 AM,insemination,:0,"6,",y,n,n,
2,9:14:02 AM,,mount,",4",",3",,,,
2,9:15:20 AM,,mount,:0,",4",,,,
2,9:25:08 AM,,mount,",7",",0",,,,
2,9:25:25 AM,,mount,",4",:0,,,,
2,9:26:07 AM,,mount,",4","9,",y,y,NA,
2,9:31:54 AM,9:32:52 AM,insemination,:0,"9,",y,n,n,
2,9:49:29 AM,9:49:57 AM,insemination,",4","9,",y,n,n,
2,10:13:43 AM,,mount,",1","2,",n,NA,y,
2,10:20:03 AM,,mount,",1","2,",n,NA,y,
2,10:31:13 AM,,mount,:1,3:00,n,NA,y,
2,11:09:48 AM,,mount,",9",",2",,,,
2,11:14:04 AM,,mount,",6",",2",,,,
2,11:21:29 AM,,mount,:0,"9,",n,NA,y,
2,11:21:49 AM,,mount,",5",",1",,,,
2,11:21:58 AM,,mount,",1",",5",,,,
2,11:22:51 AM,,mount,",9",",2",,,,
2,11:23:02 AM,,mount,",5","7,",n,NA,y,
2,11:33:26 AM,,mount,",5","7,",n,NA,y,"7, is moving with difficulty, I think that she might have an injured leg"
2,11:34:02 AM,,mount,",2",",9",,,,
2,11:40:21 AM,,mount,",9",",6",,,,
2,11:40:50 AM,,mount,",4","9,",n,NA,y,
2,11:43:22 AM,,mount,",4","9,",n,NA,y,
2,11:43:42 AM,11:44:59 AM,insemination,",2","5,",y,n,n,
2,11:44:17 AM,,mount,",6",",9",,,,
2,11:45:16 AM,,mount,",6","5,",n,NA,y,
2,11:46:54 AM,,mount,",6",",2",,,,
2,11:51:28 AM,,mount,",9",",2",,,,
2,11:52:48 AM,,mount,",2",",6",,,,
2,11:53:26 AM,,mount,",9",",2",,,,
2,12:00:17 PM,,mount,:1,"0,",n,NA,y,
2,12:05:59 PM,,mount,",9",",5",,,,
2,12:12:39 PM,,mount,",7","9,",,,,
2,12:15:39 PM,,mount,",1","7,",,,,
2,12:22:51 PM,,mount,",4","8,",n,NA,y,
2,12:23:28 PM,,mount,",2",",9",,,,
2,12:24:40 PM,,mount,",3",",4",,,,
2,12:27:22 PM,,mount,",9",",6",,,,
2,12:27:56 PM,,mount,",6",",9",,,,
2,12:32:00 PM,,mount,",3","8,",y,y,NA,
2,12:39:01 PM,12:41:19 PM,insemination,:0,"5,",n,NA,,
2,1:12:02 PM,,mount,",3","8,",n,NA,y,
2,1:15:22 PM,,mount,",3","8,",n,NA,y,
2,1:15:37 PM,,mount,",4",",3",,,,
2,1:17:48 PM,,mount,",0","0,",n,NA,y,
2,1:21:07 PM,,mount,",4","5,",y,y,NA,
2,1:22:07 PM,,mount,",3",",4",,,,
2,1:31:29 PM,,mount,",4",",3",,,,
2,1:34:55 PM,,mount,",3",",4",,,,
2,1:47:51 PM,,mount,",9","4,",y,y,NA,
2,1:56:07 PM,,mount,",8",",7",,,,
2,2:04:35 PM,,mount,",8",",7",,,,
2,2:14:39 PM,,mount,",8",",7",,,,
2,2:24:48 PM,,mount,",8",",7",,,,
2,2:29:54 PM,,mount,",7",",8",,,,
2,2:30:06 PM,,mount,",7",",8",,,,
2,2:30:56 PM,,mount,",8",",7",,,,
2,2:31:12 PM,2:31:40 PM,insemination,",3","4,",n,NA,n,
2,2:31:47 PM,,mount,",4",",3",,,"while on 4,",
2,2:48:51 PM,,mount,",8",",7",,,,
2,2:49:06 PM,,mount,",8",",7",,,,
