,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0.941176471,0.705882353,0.103448276,0.04,0.4,0.470588235,0,0,0,0,0,0,0,0,0
J,0.043478261,0.076923077,0.090909091,0.038461538,0,0.095238095,0.052631579,0.045454545,0,0,0,0,0,0,0,0
K,0.111111111,0,0,0.095238095,0.214285714,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0
L,0.15,0.285714286,0.095238095,0.3,0.176470588,0.375,0,0.157894737,0,0,0,0,0,0,0,0
M,0.08,0.55,0.35,0.2,0,0.444444444,0.15,0.083333333,0,0,0,0,0,0,0,0
N,0.222222222,0.04,0,0.25,0.266666667,0.05,0,0.166666667,0,0,0,0,0,0,0,0
O,0.260869565,0.222222222,0.260869565,0.230769231,0.238095238,0,0.315789474,0.217391304,0,0,0,0,0,0,0,0
P,0,0.705882353,0.5625,0.076923077,0,0.411764706,0.3125,0,0,0,0,0,0,0,0,0
