,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0.086956522,0.12,0.555555556,0.047619048,0,0.045454545,0,0,0,0,0,0,0,0,0
J,0.75,0,0,0.0625,0.076923077,0,0.611111111,0.941176471,0,0,0,0,0,0,0,0
K,0.75,0,0,0.0625,0.076923077,0,0.611111111,0.941176471,0,0,0,0,0,0,0,0
L,0.944444444,0,0.0625,0,0.076923077,0.076923077,0.45,0.736842105,0,0,0,0,0,0,0,0
M,0.304347826,0.130434783,0.035714286,0.035714286,0.095238095,0.045454545,0.263157895,0.272727273,0,0,0,0,0,0,0,0
N,0.034482759,0.3,0.45,0.208333333,0.277777778,0.277777778,0.043478261,0.037037037,0,0,0,0,0,0,0,0
O,0.684210526,0,0.033333333,0.033333333,0.086956522,0.041666667,0.625,0.764705882,0,0,0,0,0,0,0,0
P,0.192307692,0.173913043,0.2,0.153846154,0.2,0.2,0.086956522,0.318181818,0,0,0,0,0,0,0,0
