,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0.210526316,0,0.173913043,0.227272727,0.2,0.166666667,0.333333333,0.173913043,0,0,0,0,0,0,0,0
J,0,0.181818182,0.153846154,0.153846154,0.038461538,0.043478261,0,0.153846154,0,0,0,0,0,0,0,0
K,0.6875,0,0.55,0.033333333,0.647058824,0.785714286,0,0.55,0,0,0,0,0,0,0,0
L,0.294117647,0.1,0.238095238,0.04,0.277777778,0.176470588,0,0.238095238,0,0,0,0,0,0,0,0
M,0.380952381,0.16,0.571428571,0.375,0.428571429,0.227272727,0.181818182,0.571428571,0,0,0,0,0,0,0,0
N,0.25,0.111111111,0.333333333,0.090909091,0.3125,0.285714286,0.0625,0.333333333,0,0,0,0,0,0,0,0
O,0,0.12,0.066666667,0.103448276,0.035714286,0.04,0.041666667,0.066666667,0,0,0,0,0,0,0,0
P,0,0.333333333,0.032258065,0.066666667,0.035714286,0.04,0,0.032258065,0,0,0,0,0,0,0,0
