,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0.588235294,0.588235294,0.133333333,0.294117647,0,0.625,0,0,0,0,0,0,0,0,0
J,0.36,0.172413793,0.172413793,0.333333333,0,0.09375,0.178571429,0.1,0,0,0,0,0,0,0,0
K,0.545454545,0,0,0.2,0,0.166666667,0,0.137931034,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0.307692308,0,0,0,0,0.346153846,0,0.375,0,0,0,0,0,0,0,0
N,0,0.269230769,0.269230769,0,0.333333333,0.416666667,0.230769231,0.333333333,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0.888888889,0,0.882352941,0,0,0,0,0,0,0,0
P,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
