,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0.75,0,0.115384615,0,0,0,0,0,0,0,0,0,0
J,0.032258065,0.375,0.103448276,0.071428571,0.375,0.033333333,0.375,0.25,0,0,0,0,0,0,0,0
K,0.03125,0,0,0.55,0,0.066666667,0,0.24,0,0,0,0,0,0,0,0
L,0.1,0,0,0.409090909,0,0.28,0,0.148148148,0,0,0,0,0,0,0,0
M,0,0,0,0.409090909,0,0,0,0.347826087,0,0,0,0,0,0,0,0
N,0.722222222,0,0.148148148,0.035714286,0,0.304347826,0,0,0,0,0,0,0,0,0,0
O,0,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0
P,0,0.16,0.166666667,0.368421053,0.16,0.08,0.16,0.04,0,0,0,0,0,0,0,0
