group,replicate,day,time,location,members,notes
168,3,2,1400,1,G I F C,
169,3,2,1400,3,M B A,
170,3,2,1400,4,K H L E,
171,3,2,1500,1,I G F C E,
172,3,2,1500,3,D B A M,
173,3,2,1500,4,K L H P,
174,3,2,1600,1,G C I F E,
175,3,2,1600,3,B D A M,
176,3,2,1600,4,K H L P,
177,4,1,900,1,B L E D,
178,4,1,900,2,C K P O,
179,4,1,900,3,M N A J,
180,4,1,1000,1,E B D L,
181,4,1,1000,2,O P C K,
182,4,1,1000,3,M A J N,
183,4,1,1100,1,E B D L,
184,4,1,1100,2,O P K C,
185,4,1,1100,3,A M J N,
186,4,1,1200,1,D E B L,
187,4,1,1200,2,P C K,
188,4,1,1200,3,O A M J N,
189,4,1,1300,1,E D B L,
190,4,1,1300,2,C P K,
191,4,1,1300,3,O I M J N,
192,4,1,1400,1,E B L D,
193,4,1,1400,2,P C K,
194,4,1,1400,3,O M I N A J,
195,4,1,1400,4,F H,
196,4,1,1500,1,E G D B L,
197,4,1,1500,2,C O,
198,4,1,1500,3,I M N A,
199,4,1,1500,4,H F,
200,4,1,1600,1,G B D K O E,
201,4,1,1600,2,C L,
202,4,1,1600,3,M I N A J,nikki
203,4,1,1600,4,H F,
204,4,2,800,1,G B K D O L E,
205,4,2,800,2,C P F,
206,4,2,800,3,J I N M A,
207,4,2,900,1,B G K D L O E,
208,4,2,900,2,C P F,
209,4,2,900,3,J I N M A,
210,4,2,1000,1,B G L O E D K,
211,4,2,1000,2,C P F,
212,4,2,1000,3,I N M J A,
213,4,2,1100,1,G E K D B,
214,4,2,1100,2,C P F,
215,4,2,1100,3,N O I J A,
216,4,2,1200,1,E G D K B,
217,4,2,1200,2,C H F,
218,4,2,1200,3,N O I J A,
219,4,2,1300,1,B K E D G,
220,4,2,1300,2,C H F,
221,4,2,1300,3,N J O I A,
222,4,2,1400,1,E B D G,
223,4,2,1400,2,F H,
224,4,2,1400,3,I J C A,
225,4,2,1500,1,D E G B,
226,4,2,1500,2,H F O,
227,4,2,1500,3,A I J C L,
228,4,2,1600,1,D E G B,
229,4,2,1600,2,H M F,
230,4,2,1600,3,A I C L P,
231,5,1,900,2,I P K B,
232,5,1,900,3,N H A O J,
233,5,1,900,4,L D E G,
234,5,1,1000,2,I P B,
235,5,1,1000,3,N H K O A J,
236,5,1,1000,4,L E D G,
237,5,1,1100,2,I P B,
238,5,1,1100,3,N H K A J,
239,5,1,1100,4,D G E,
240,5,1,1200,2,I L B P,
241,5,1,1200,3,N H J K A,
242,5,1,1200,4,E G,
243,5,1,1300,2,I L,
244,5,1,1300,3,H P D N A C,
245,5,1,1300,4,E G,
246,5,1,1400,2,I J,
247,5,1,1400,3,P N H K D A O C,
248,5,1,1400,4,E L G,
249,5,1,1500,3,K A H P N O,
250,5,1,1500,4,E G L,
251,5,1,1600,2,I B,
252,5,1,1600,3,H K P N O D C A,
253,5,1,1600,4,E L G,
254,5,2,800,1,J F,
255,5,2,800,2,B I M,
256,5,2,800,3,O P H A N D K C,
257,5,2,800,4,E G L,
258,5,2,900,1,J F,
259,5,2,900,2,B I M,
260,5,2,900,3,H O P K A D C N,
261,5,2,900,4,E G L,
262,5,2,1000,1,J F,
263,5,2,1000,2,B I M,
264,5,2,1000,3,H N D C O A,
265,5,2,1000,4,G L E,
266,5,2,1100,1,F J,
267,5,2,1100,2,B K I,
268,5,2,1100,3,H N A D C,
269,5,2,1100,4,L G,
270,5,2,1200,1,F J,these were accidentally taken at 12:30 apparently
271,5,2,1200,2,I M L,12:30
272,5,2,1200,3,H K C D,12:30
273,5,2,1300,1,F J,
274,5,2,1300,3,I K C P D,
275,5,2,1400,1,F J,
276,5,2,1400,2,M A,
277,5,2,1400,3,C K D I P H,
278,5,2,1400,4,E G,
279,5,2,1500,1,N F O L J,
280,5,2,1500,3,D M I P K C H,
281,5,2,1500,4,E G,
282,5,2,1600,1,L J F O N,
283,5,2,1600,3,M D I H K C P,
284,5,2,1600,4,E G,
285,6,1,900,1,C D A,
286,6,1,900,2,B N G J,
287,6,1,900,3,O L F E,
288,6,1,900,4,P M H,
289,6,1,1000,1,A D C,
290,6,1,1000,2,M N J B I G,
291,6,1,1000,3,O F E L,
292,6,1,1000,4,P H,
293,6,1,1100,1,C A D,
294,6,1,1100,2,N M J B G,
295,6,1,1100,3,L F E O,
296,6,1,1100,4,H P,
297,6,1,1200,1,C D A,
298,6,1,1200,2,N M J G B,
299,6,1,1200,3,O F L E,
300,6,1,1200,4,H P,
301,6,1,1300,1,C D A,
302,6,1,1300,2,N J M G B,
303,6,1,1300,3,F E L O,
304,6,1,1300,4,H P,
305,6,1,1400,1,C D,
306,6,1,1400,2,J G A M,
307,6,1,1400,3,O F E L,
308,6,1,1500,1,E D C,
309,6,1,1500,2,J G A B M,
310,6,1,1500,3,O F L,
311,6,1,1500,4,H N,
312,6,1,1600,1,E D B C,
313,6,1,1600,2,J M H,
314,6,1,1600,3,L F O,
315,6,2,800,1,D B E A C,
316,6,2,800,2,M J H,
317,6,2,800,3,L O F,
318,6,2,800,4,K N P I G,
319,6,2,900,1,B A D E C,
320,6,2,900,2,J H M,
321,6,2,900,3,F O L,
322,6,2,900,4,N K G I P,
323,6,2,1000,1,E B A D C,
324,6,2,1000,2,J M H,
325,6,2,1000,3,O F L,
326,6,2,1000,4,G N P,
327,6,2,1100,1,D B E C A,
328,6,2,1100,2,H J M,
329,6,2,1100,3,O F,
330,6,2,1100,4,N G,
331,6,2,1200,1,E B A D C,
332,6,2,1200,2,M H,
333,6,2,1300,1,D B C E A,
334,6,2,1300,2,M H,
335,6,2,1300,3,G J,
336,6,2,1400,1,C D E B A F,
337,6,2,1400,2,H M,
338,6,2,1500,1,E B C F D A,
339,6,2,1500,2,M H,
340,6,2,1600,1,B E L F C D A,
341,6,2,1600,4,G M,
