"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","patch_partner","treatment"
"91",1,"1:18:19 PM","",",6","4,","y","y",NA,"mount","Did not initailly avoid but quikcly pressed herself agianst wall while male on top","C","O","isolated"
"92",1,"1:29:54 PM","",",1","1,","y","y",NA,"mount","","B","N","isolated"
"93",1,"2:00:31 PM","",",1","4,","n",NA,"y","mount","","B","O","isolated"
"94",1,"2:05:11 PM","",",4","4,","y","y",NA,"mount","","D","O","isolated"
"95",1,"2:07:04 PM","",",4","1,","y","y",NA,"mount","","D","N","isolated"
"96",1,"2:07:54 PM","",",4","4,","y","y",NA,"mount","","D","O","isolated"
"97",1,"2:08:21 PM","",",4","4,","y","y",NA,"mount","","D","O","isolated"
"98",1,"2:10:10 PM","",",4","4,","y","y",NA,"mount","","D","O","isolated"
"99",1,"2:15:20 PM","",",4","4,","y","y",NA,"mount","","D","O","isolated"
"100",1,"2:17:41 PM","",",7","7,","y","y",NA,"mount","","F","P","isolated"
"101",1,"2:18:12 PM","",",4","1,","y","y",NA,"mount","","D","N","isolated"
"102",1,"2:21:28 PM","",",4","7,","n",NA,"y","mount","","D","P","isolated"
"103",1,"2:22:17 PM","",",4","7,","y","y",NA,"mount","","D","P","isolated"
"104",1,"2:33:28 PM","",",5","4,","n",NA,"y","mount","","E","O","isolated"
"105",1,"2:41:51 PM","",",5","4,","n",NA,"y","mount","","E","O","isolated"
"106",1,"2:42:10 PM","",",4","4,","n",NA,"y","mount","","D","O","isolated"
"107",1,"2:42:52 PM","",",5","4,","n",NA,"y","mount","","E","O","isolated"
"108",1,"2:43:30 PM","",",8","1,","y","y",NA,"mount","","G","N","isolated"
"109",1,"2:44:29 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"110",1,"2:45:47 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"111",1,"2:46:48 PM","",",5","1,","y","y",NA,"mount","","E","N","isolated"
"112",1,"2:51:24 PM","",",8","1,","n",NA,"y","mount","","G","N","isolated"
"113",1,"2:54:31 PM","",",8","1,","n",NA,"y","mount","","G","N","isolated"
"114",1,"2:55:42 PM","",",8","1,","n",NA,"y","mount","","G","N","isolated"
"115",1,"2:57:14 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"116",1,"2:58:52 PM","",",8","1,","y","y",NA,"mount","","G","N","isolated"
"117",1,"3:05:21 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"118",1,"3:06:25 PM","",",8","1,","n",NA,"y","mount","","G","N","isolated"
"119",1,"3:08:00 PM","",",8","1,","y","y",NA,"mount","","G","N","isolated"
"120",1,"3:09:11 PM","",",8","7,","y","y",NA,"mount","","G","P","isolated"
"121",1,"3:12:43 PM","",",8","1,","n",NA,"y","mount","male mounted the bottom of upside down female","G","N","isolated"
"122",1,"3:14:55 PM","",",8","7,","n",NA,"y","mount","","G","P","isolated"
"123",1,"3:15:54 PM","",",5","9,","n",NA,"y","mount","","E","L","social"
"124",1,"3:18:25 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"125",1,"3:28:15 PM","",",9","4,","y","y",NA,"mount","","H","O","isolated"
"126",1,"3:28:36 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"127",1,"3:31:54 PM","",",8","4,","y","y",NA,"mount","","G","O","isolated"
"128",1,"3:35:09 PM","",",9","1,","y","y",NA,"mount","","H","N","isolated"
"129",1,"3:38:11 PM","",",8","4,","y","y",NA,"mount","","G","O","isolated"
"130",1,"3:41:07 PM","",",9","4,","y","y",NA,"mount","","H","O","isolated"
"131",1,"3:41:43 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"132",1,"3:41:56 PM","",",9","1,","y","y",NA,"mount","","H","N","isolated"
"133",1,"3:42:24 PM","",",8","4,","y","y",NA,"mount","","G","O","isolated"
"134",1,"3:45:44 PM","",",0","1,","n",NA,"y","mount","","A","N","isolated"
"135",1,"3:46:37 PM","",",9","4,","y","y",NA,"mount","","H","O","isolated"
"136",1,"3:48:01 PM","",",0","4,","y","y",NA,"mount","","A","O","isolated"
"137",1,"3:48:18 PM","",",0","1,","y","y",NA,"mount","","A","N","isolated"
"138",1,"3:53:35 PM","",",0","4,","y","y",NA,"mount","","A","O","isolated"
"139",1,"3:58:08 PM","",",0","4,","y","y",NA,"mount","","A","O","isolated"
"140",2,"12:31:11 PM","",",8","4,","y","y",NA,"mount","","G","O","isolated"
"141",2,"12:40:45 PM","12:45:25 PM",",7","4,","y","n","n","insemination","Did not start insemination right away","F","O","isolated"
"142",2,"12:47:32 PM","",",5","0,","y","y",NA,"mount","","E","M","isolated"
"143",2,"12:49:17 PM","12:50:55 PM",",7","4,","y","n","n","insemination","","F","O","isolated"
"144",2,"12:54:11 PM","",",5","1,","y","y",NA,"mount","","E","N","isolated"
"145",2,"12:54:43 PM","1:02:24 PM",",7","4,","n",NA,"n","insemination","got back into position, very strange","F","O","isolated"
"146",2,"1:00:09 PM","1:00:35 PM",",5","1,","?","?","n","insemination","Started during break","E","N","isolated"
"147",2,"1:02:13 PM","",",1","1,","y","y",NA,"mount","","B","N","isolated"
"148",2,"1:04:10 PM","1:04:36 PM",",7","4,","n",NA,"n","insemination","back into position","F","O","isolated"
"149",2,"1:05:26 PM","",",8","4,","n",NA,"y","mount","","G","O","isolated"
"150",2,"1:06:30 PM","",",5","0,","y","y",NA,"mount","","E","M","isolated"
