"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","patch_partner","treatment"
"1",1,"8:03:01 AM","",",6","5,","y","y",NA,"mount","","G","P","isolated"
"2",1,"8:03:29 AM","8:08:59 AM",",6","2,","y","n","n","insemination","","G","I","social"
"3",1,"8:06:48 AM","",",8","1,","y","y",NA,"mount","","H","K","social"
"4",1,"8:07:22 AM","",",8","1,","n",NA,"y","mount","","H","K","social"
"5",1,"8:10:10 AM","",",6","2,","n",NA,"y","mount","","G","I","social"
"6",1,"8:10:17 AM","",",8","1,","y","y",NA,"mount","","H","K","social"
"7",1,"8:11:44 AM","8:14:01 AM",",4","0,","n",NA,"n","insemination","","E","L","social"
"8",1,"8:12:06 AM","",",6","6,","y","y",NA,"mount","","G","M","isolated"
"9",1,"8:14:02 AM","",",8","1,","y","y",NA,"mount","","H","K","social"
"10",1,"8:14:23 AM","",",1","1,","y","y",NA,"mount","","B","K","social"
"11",1,"8:14:46 AM","",",6","2,","n",NA,"y","mount","","G","I","social"
"12",1,"8:15:44 AM","8:17:49 AM",",6","5,","n",NA,"n","insemination","","G","P","isolated"
"13",1,"8:22:40 AM","8:23:40 AM",",0","0,","y","n","n","insemination","","A","L","social"
"14",1,"8:24:47 AM","",",8","2,","y","y",NA,"mount","","H","I","social"
"15",1,"8:25:01 AM","",",8","0,","y","y",NA,"mount","","H","L","social"
"16",1,"8:25:26 AM","",",8","0,","y","n","y","mount","","H","L","social"
"17",1,"8:26:44 AM","",",8","6,","y","n","y","mount","","H","M","isolated"
"18",1,"8:27:19 AM","8:28:50 AM",",6","2,","n",NA,"n","insemination","","G","I","social"
"19",1,"8:27:46 AM","",",1","5,","n",NA,"y","mount","male lousy","B","P","isolated"
"20",1,"8:29:16 AM","",",8","6,","y","y",NA,"mount","female was against wall","H","M","isolated"
"21",1,"8:31:32 AM","",",6","0,","y","y",NA,"mount","","G","L","social"
"22",1,"8:34:34 AM","8:36:10 AM",",3","9,","y","n","n","insemination","","D","N","isolated"
"23",1,"8:38:50 AM","",",8","9,","y","y",NA,"mount","","H","N","isolated"
"24",1,"8:38:56 AM","",",8","8,","n",NA,"y","mount","","H","O","isolated"
"25",1,"8:39:32 AM","8:40:20 AM",",5","2,","n",NA,"n","insemination","","F","I","social"
"26",1,"8:41:18 AM","",",8","9,","n",NA,"y","mount","","H","N","isolated"
