"","V1","V2"
"1",290,164
"2",267,30
"3",40,308
"4",349,384
"5",200,394
"6",101,260
"7",415,334
"8",383,238
"9",168,225
"10",159,50
"11",233,244
"12",98,92
"13",108,0
"14",416,165
"15",174,330
"16",196,75
"17",123,361
"18",55,389
"19",213,135
"20",342,68
"21",31,137
"22",125,182
"23",399,103
"24",259,334
