replicate,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success,male_abort,Notes,patch_focal,treatment,patch_partner,partner_sex,
1,1,8:31:20 AM,8:33:01 AM,insemination,0.9,6,n,NA,n,,E,isolated,S,female,
1,1,10:45:09 AM,,insemination,0.9,8,n,NA,n,,E,isolated,U,female,
1,1,8:11:04 AM,,mount,0.9,6,y,y,NA,,E,isolated,S,female,
1,1,8:11:27 AM,,mount,0.9,7,n,NA,y,,E,isolated,T,female,
1,1,8:12:22 AM,,mount,0.9,0,n,NA,y,,E,isolated,M,female,
1,1,8:28:26 AM,,mount,0.9,1,n,NA,y,,E,isolated,N,female,
1,1,8:36:09 AM,,mount,0.9,1,y,n,y,,E,isolated,N,female,
1,1,8:40:15 AM,,mount,0.9,1,n,NA,y,,E,isolated,N,female,
1,1,8:40:45 AM,,mount,0.9,0,n,NA,y,,E,isolated,M,female,
1,1,9:19:16 AM,,mount,0.9,8,n,NA,y,,E,isolated,U,female,
1,1,10:08:46 AM,,mount,0.9,4,y,y,NA,,E,isolated,Q,female,
1,1,11:29:28 AM,,mount,0.9,6,n,NA,y,,E,isolated,S,female,
1,1,11:30:11 AM,,mount,0.9,6,n,NA,y,,E,isolated,S,female,
1,1,11:46:32 AM,,mount,0.9,0,n,NA,y,,E,isolated,M,female,
1,1,11:46:59 AM,,mount,0.9,1;,y,y,NA,,E,isolated,X,female,
1,1,12:03:20 PM,,mount,0.9,9,y,n,y,,E,isolated,V,female,
1,1,12:12:00 PM,,mount,0.9,9,n,NA,y,,E,isolated,V,female,
1,1,12:13:17 PM,,mount,0.9,0,n,NA,y,,E,isolated,M,female,
1,1,12:21:20 PM,,mount,0.9,1:00,n,NA,y,,E,isolated,X,female,
1,1,12:22:34 PM,,mount,0.9,0,n,NA,y,,E,isolated,M,female,
1,1,12:23:48 PM,,mount,0.9,0,n,NA,y,,E,isolated,M,female,
1,1,12:29:15 PM,,mount,0.9,4,y,y,NA,,E,isolated,Q,female,
1,1,12:33:25 PM,,mount,0.9,9,n,NA,y,,E,isolated,V,female,
1,1,12:34:38 PM,,mount,0.9,4,y,y,NA,,E,isolated,Q,female,
1,1,12:37:22 PM,,mount,0.9,0,n,NA,y,,E,isolated,M,female,
1,1,12:39:52 PM,,mount,0.9,4,n,NA,y,,E,isolated,Q,female,
1,1,12:40:56 PM,,mount,0.9,9,y,y,NA,,E,isolated,V,female,
1,1,12:43:32 PM,,mount,0.9,1:00,n,NA,y,,E,isolated,X,female,
1,1,12:45:04 PM,,mount,0.9,9,n,NA,y,,E,isolated,V,female,
1,1,12:45:54 PM,,mount,0.9,4,n,NA,y,,E,isolated,Q,female,
1,1,12:48:32 PM,,mount,0.9,4,n,NA,y,,E,isolated,Q,female,
1,1,12:50:47 PM,,mount,0.9,9,n,NA,y,,E,isolated,V,female,
1,1,1:00:43 PM,,mount,0.9,1:00,n,NA,y,,E,isolated,X,female,
1,1,1:19:44 PM,,mount,0.9,1:00,n,NA,y,,E,isolated,X,female,
1,1,1:26:40 PM,,mount,0.9,9,n,NA,y,,E,isolated,V,female,
1,1,1:28:32 PM,,mount,0.9,1:00,n,NA,y,,E,isolated,X,female,
1,1,1:29:56 PM,,mount,0.9,8,n,NA,y,,E,isolated,U,female,
1,1,1:30:59 PM,,mount,0.9,8,n,NA,y,,E,isolated,U,female,
1,1,1:35:54 PM,.,mount,0.9,8,n,NA,y,,E,isolated,U,female,
1,1,1:37:41 PM,,mount,0.9,1:00,n,NA,y,,E,isolated,X,female,
1,1,1:44:42 PM,,mount,0.9,1:00,y,y,NA,,E,isolated,X,female,
1,1,1:51:17 PM,,mount,0.9,8,y,y,NA,,E,isolated,U,female,
1,1,2:02:23 PM,,mount,0.9,5,y,y,NA,,E,isolated,R,female,
1,1,2:04:07 PM,,mount,0.9,5,n,NA,y,,E,isolated,R,female,
1,1,2:13:34 PM,,mount,0.9,6,n,NA,y,,E,isolated,S,female,
1,1,2:36:48 PM,,mount,0.9,1:00,n,NA,y,,E,isolated,X,female,
1,1,3:19:05 PM,,mount,0.9,0:00,y,y,NA,,E,isolated,W,female,
1,1,3:25:37 PM,,mount,0.9,6,n,NA,y,,E,isolated,S,female,
1,1,3:45:08 PM,,mount,0.9,1,n,NA,y,,E,isolated,N,female,
1,1,3:46:29 PM,,mount,0.9,5,n,NA,y,,E,isolated,R,female,
1,1,8:01:13 AM,,mount,0.9,0.6,,,,,E,isolated,I,male,
1,1,8:01:12 AM,,mount,0.9,0.6,,,,,E,isolated,I,male,
1,1,8:06:26 AM,,mount,0.9,0.3,,,,,E,isolated,H,male,
1,1,8:13:40 AM,,mount,0.9,0.1,,,,,E,isolated,J,male,
1,1,8:19:21 AM,,mount,0.9,0.2,,,,during insem,E,isolated,G,male,
1,1,8:48:27 AM,,mount,0.9,0,,,,,E,isolated,L,male,
1,1,9:23:35 AM,,mount,0.9,0,,,,,E,isolated,L,male,
1,1,10:24:18 AM,,mount,0.9,0.3,,,,,E,isolated,H,male,
1,1,11:03:49 AM,,mount,0.9,0.1,,,,,E,isolated,J,male,
1,1,11:13:06 AM,,mount,0.9,0,,,,,E,isolated,L,male,
1,1,11:18:51 AM,,mount,0.9,0.1,,,,,E,isolated,J,male,
1,1,11:24:24 AM,,mount,0.9,0.1,,,,,E,isolated,J,male,
1,1,11:27:29 AM,,mount,0.9,",.6",,,,,E,isolated,I,male,
1,1,11:38:12 AM,,mount,0.9,0.7,,,,,E,isolated,F,male,
1,1,11:41:37 AM,,mount,0.9,0.6,,,,,E,isolated,I,male,
1,1,11:48:42 AM,,mount,0.9,0.6,,,,,E,isolated,I,male,
