replicate,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success,male_abort,Notes,patch_focal,treatment,patch_partner,partner_sex,
1,2,1:29:12 PM,,mount,:0,0:00,n,NA,y,,C,social,W,female,
1,2,1:30:30 PM,,mount,:0,6,n,NA,y,,C,social,S,female,
1,2,1:31:21 PM,,mount,:0,0:00,n,NA,y,,C,social,W,female,
1,2,1:41:12 PM,,mount,:0,8,n,NA,n,,C,social,U,female,
1,2,2:01:47 PM,,mount,:0,3,n,NA,y,,C,social,P,female,
1,2,2:08:04 PM,,mount,:0,8,n,NA,y,,C,social,U,female,
1,2,2:09:32 PM,,mount,:0,7,n,NA,y,,C,social,T,female,
1,2,2:18:41 PM,,mount,:0,1:00,n,NA,y,,C,social,X,female,
1,2,2:21:55 PM,,mount,:0,1:00,n,NA,y,,C,social,X,female,
1,2,2:24:55 PM,,mount,:0,9,y,y,NA,,C,social,V,female,
1,2,2:25:16 PM,,mount,:0,1:00,n,NA,y,,C,social,X,female,
1,2,2:26:39 PM,,mount,:0,7,y,NA,y,,C,social,T,female,
1,2,1:15:16 PM,,mount,:0,0.1,n,,,,C,social,J,male,
1,2,1:47:16 PM,,mount,:0,0,,,,,C,social,L,male,
1,2,2:34:55 PM,,mount,:0,:6,,,,,C,social,B,male,
1,1,8:22:10 AM,,insemination,:1,0,y,n,NA,,K,isolated,M,female,
1,1,8:32:23 AM,,insemination,:1,0,y,n,n,,K,isolated,M,female,
1,1,9:02:23 AM,,insemination,:1,0:00,n,NA,n,,K,isolated,W,female,
1,1,1:08:19 PM,,insemination,:1,7,y,n,n,,K,isolated,T,female,
1,1,8:07:25 AM,,mount,:1,0,n,NA,y,,K,isolated,M,female,
1,1,8:10:32 AM,,mount,:1,0,y,y,NA,,K,isolated,M,female,
1,1,8:21:11 AM,,mount,:1,0,n,NA,y,,K,isolated,M,female,
1,1,8:26:05 AM,,mount,:1,7,y,y,NA,,K,isolated,T,female,
1,1,8:26:35 AM,,mount,:1,6,y,y,NA,,K,isolated,S,female,
1,1,8:44:48 AM,,mount,:1,9,y,y,NA,,K,isolated,V,female,
1,1,8:48:20 AM,,mount,:1,0,n,NA,y,,K,isolated,M,female,
1,1,10:53:18 AM,,mount,:1,7,y,n,y,,K,isolated,T,female,
1,1,11:25:12 AM,,mount,:1,0,n,NA,y,,K,isolated,M,female,
1,1,11:38:28 AM,,mount,:1,0,n,NA,y,,K,isolated,M,female,
1,1,12:19:00 PM,,mount,:1,0,y,y,NA,,K,isolated,M,female,
1,1,12:23:12 PM,,mount,:1,7,y,y,NA,,K,isolated,T,female,
1,1,8:16:40 AM,,mount,:1,0.1,,,,,K,isolated,J,male,
1,1,8:19:22 AM,,mount,:1,0.2,,,,during insem,K,isolated,G,male,
1,1,9:18:25 AM,,mount,:1,0.7,,,,,K,isolated,F,male,
1,1,10:20:03 AM,,mount,:1,0.3,,,,,K,isolated,H,male,
1,1,10:38:12 AM,,mount,:1,0.6,,,,,K,isolated,I,male,
1,2,11:40:00 AM,,insemination,:1,7,y,n,n,,K,isolated,T,female,
1,2,1:50:35 PM,,mount,:1,7,y,y,NA,,K,isolated,T,female,
1,1,8:03:03 AM,8:05:11 AM,insemination,:6,2,n,NA,n,,B,isolated,O,female,
1,1,8:12:37 AM,,insemination,:6,6,n,NA,n,male position was weir,B,isolated,S,female,
1,1,8:32:37 AM,,insemination,:6,4,n,NA,n,,B,isolated,Q,female,
1,1,2:07:12 PM,,insemination,:6,5,n,NA,y,,B,isolated,R,female,
1,1,3:08:28 PM,,insemination,:6,7,y,n,n,,B,isolated,T,female,
1,1,3:14:17 PM,3:15:11 PM,insemination,:6,3,n,NA,n,,B,isolated,P,female,
1,1,8:15:50 AM,,mount,:6,6,n,NA,y,,B,isolated,S,female,
1,1,10:34:26 AM,,mount,:6,0,n,NA,y,,B,isolated,M,female,
1,1,11:51:46 AM,,mount,:6,2,y,y,NA,refusal stance,B,isolated,O,female,
1,1,12:32:04 PM,,mount,:6,0,n,NA,y,,B,isolated,M,female,
1,1,1:36:42 PM,,mount,:6,1,n,NA,y,,B,isolated,N,female,
1,1,1:46:46 PM,,mount,:6,6,n,NA,y,,B,isolated,S,female,
1,1,3:26:11 PM,,mount,:6,9,n,NA,y,,B,isolated,V,female,
1,1,8:00:23 AM,,mount,:6,0.1,,,,,B,isolated,J,male,
1,1,8:00:24 AM,,mount,:6,0.1,,,,,B,isolated,J,male,
1,1,8:16:17 AM,,mount,:6,0.3,,,,,B,isolated,H,male,
1,1,8:25:39 AM,,mount,:6,0.6,,,,,B,isolated,I,male,
1,1,8:30:13 AM,,mount,:6,0.6,,,,,B,isolated,I,male,
1,1,8:37:22 AM,,mount,:6,0.6,,,,,B,isolated,I,male,
1,1,8:51:40 AM,,mount,:6,0.3,,,,,B,isolated,H,male,
1,1,8:51:54 AM,,mount,:6,0.3,,,,,B,isolated,H,male,
1,1,10:04:53 AM,,mount,:6,0.6,,,,,B,isolated,I,male,
1,1,11:56:34 AM,,mount,:6,0.1,,,,,B,isolated,J,male,
1,1,3:34:17 PM,,mount,:6,0.8,,,,,B,isolated,A,male,
1,2,9:41:59 AM,,insemination,:6,3,n,NA,n,,B,isolated,P,female,
1,2,10:42:44 AM,10:44:44 AM,insemination,:6,3,y,n,n,,B,isolated,P,female,
1,2,9:48:12 AM,,mount,:6,"3,",n,,,,B,isolated,NA,female,
1,2,11:39:28 AM,,mount,:6,3,y,n,y,,B,isolated,P,female,
1,2,11:20:06 AM,,mount,:6,0.3,n,NA,y,,B,isolated,H,male,
1,2,2:30:53 PM,,mount,:6,0:00,n,NA,y,,B,isolated,W,female,
1,2,2:35:57 PM,,mount,:6,0:00,n,NA,y,,B,isolated,W,female,
1,2,2:53:18 PM,,mount,:6,0:00,n,NA,y,,B,isolated,W,female,
1,2,2:34:31 PM,,mount,:6,:0,,,,,B,isolated,C,male,
2,1,8:32:15 AM,8:34:45 AM,insemination,",0","2,",n,NA,n,,F,social,O,female,
2,1,11:08:19 AM,,mount,",0",1:00,y,n,y,,F,social,X,female,
2,1,11:19:36 AM,,mount,",0","3,",n,NA,y,,F,social,P,female,
2,1,12:20:12 PM,,mount,",0","3,",n,NA,y,,F,social,P,female,
2,1,1:23:42 PM,,mount,",0","3,",y,n,y,,F,social,P,female,
2,1,2:11:55 PM,,mount,",0","3,",y,n,y,,F,social,P,female,
2,1,2:21:35 PM,,mount,",0","3,",y,y,NA,,F,social,P,female,
2,1,2:23:38 PM,,mount,",0","3,",y,n,y,,F,social,P,female,
2,1,8:17:47 AM,,mount,",0",:9,,,,,F,social,H,male,
2,1,8:26:39 AM,,mount,",0",:9,,,,,F,social,H,male,
2,1,2:06:33 PM,,mount,",0",",4",,,,,F,social,I,male,
2,1,2:12:35 PM,,mount,",0",:9,,,,,F,social,H,male,
2,2,12:12:53 PM,,insemination,",0","8,",y,n,n,,F,social,U,female,
2,2,1:43:49 PM,1:44:15 PM,insemination,",0",1:00,n,NA,n,too short?,F,social,X,female,
2,2,11:37:02 AM,,mount,",0","0,",y,y,NA,,F,social,M,female,
2,2,12:11:17 PM,,mount,",0","8,",n,NA,y,,F,social,U,female,
2,2,12:12:19 PM,,mount,",0","8,",y,y,NA,,F,social,U,female,
2,2,12:27:30 PM,,mount,",0",0:00,y,y,NA,,F,social,W,female,
2,2,1:17:18 PM,,mount,",0","0,",y,n,y,,F,social,M,female,
2,2,11:40:09 AM,,mount,",0",:9,,,,,F,social,H,male,
2,2,12:01:37 PM,,mount,",0",:9,,,,,F,social,H,male,
2,2,1:21:34 PM,,mount,",0",:9,,,,,F,social,H,male,
2,1,9:21:51 AM,9:22:40 AM,insemination,",2","6,",n,NA,n,,E,social,S,female,
2,1,8:01:50 AM,,mount,",2",",5",,,,"while ,8 was inseminating 9,",E,social,K,male,
2,1,9:28:08 AM,,mount,",2",",4",,,,,E,social,I,male,
2,2,9:51:27 AM,,mount,",2",",8",,,,,E,social,L,male,
