,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0.2,0.076923077,0.111111111,0,0.111111111,0,0.1,0,0.380952381,0.032258065,0.111111111,0.380952381,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0.875,1,0,1,0,0,0,0,0.03030303,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0.363636364,0.391304348,0.074074074,0.391304348,0.2,0,0,0.068965517,0,0.391304348,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,1,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q,0.142857143,0.111111111,0.103448276,0.260869565,0.103448276,0.153846154,0.263157895,0,0,0.03030303,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,1,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0.588235294,0.611111111,0.04,0.611111111,0,0,0.035714286,0,0.033333333,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0,0
T,0,0.476190476,0.5,0,0.5,0,0,0.178571429,0,0.166666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
U,0.230769231,0.428571429,0.454545455,0,0.454545455,0,0.263157895,0,0,0,0.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0.875,1,0,1,0,0,0,0,0.03030303,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W,0.142857143,0.578947368,0.6,0,0.6,0,0.142857143,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0.28,0.363636364,0.391304348,0,0.391304348,0,0.333333333,0,0,0,0.391304348,0,0,0,0,0,0,0,0,0,0,0,0,0
